Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Raticate,Vaporeon,65.06,52.52,12.54,73
Squirtle,Meganium,62.66,50.2,12.45,65
Celebi,Tyranitar,74.12,61.7,12.42,289
Chansey,Blastoise,61.05,48.67,12.38,62
Chansey,Charizard,63.01,50.63,12.38,59
Porygon2,Electabuzz,67.88,55.5,12.38,148
Pupitar,Celebi,71.23,58.87,12.36,291
Mudkip,Charmeleon,62.47,50.11,12.36,70
Natu,Blastoise,64.71,52.36,12.35,74
Jolteon,Celebi,76.11,63.76,12.35,262
Pidgey,Electabuzz,63.26,50.91,12.35,75
Sandshrew,Charizard,63.92,51.58,12.34,71
Loudred,Blastoise,70.13,57.82,12.31,51
Porygon2,Sceptile,68.27,55.97,12.3,59
Chikorita,Ivysaur,61.52,49.23,12.29,57
Lugia,Arcanine,76.32,64.05,12.27,275
Phanpy,Flareon,62.7,50.43,12.27,84
Blaziken,Venusaur,70.57,58.33,12.25,70
Suicune,Moltres,73.68,61.45,12.22,261
Mantine,Charizard,70.3,58.08,12.22,70
Exploud,Tyranitar,65.68,53.47,12.21,265
Magneton,Celebi,71.02,58.86,12.17,301
Marowak,Celebi,72.02,59.86,12.17,262
Snorlax,Celebi,73.25,61.09,12.16,292
Charmander,Blaziken,66.8,54.64,12.16,67
Meganium,Venusaur,70.91,58.75,12.16,73
Manectric,Celebi,75.03,62.89,12.15,269
Tentacool,Crobat,59.25,47.11,12.13,78
Swampert,Charizard,68.83,56.7,12.13,75
Grovyle,Charizard,67.72,55.6,12.12,81
Flaaffy,Suicune,72.39,60.28,12.11,288
Xatu,Arcanine,70.72,58.62,12.1,304
Croconaw,Gyarados,65.9,53.81,12.08,86
Magikarp,Flareon,53.45,41.38,12.08,78
Magcargo,Celebi,70.89,58.82,12.07,272
Loudred,Vaporeon,66.5,54.44,12.07,157
Xatu,Lugia,75.1,63.05,12.06,303
Magnemite,Crobat,62.51,50.47,12.04,135
Diglett,Exploud,62.1,50.06,12.03,80
Whismur,Vaporeon,61.98,49.97,12.02,63
Pidgeot,Groudon,72.06,60.04,12.02,270
Slugma,Charizard,63.66,51.66,12.0,60
Xatu,Gyarados,70.18,58.18,12.0,363
Charmander,Charmeleon,66.75,54.75,12.0,66
Exeggcute,Charizard,64.13,52.14,11.98,63
Flaaffy,Lugia,72.46,60.49,11.97,287
Marshtomp,Crobat,63.9,51.97,11.93,56
Flygon,Celebi,75.52,63.62,11.91,293
Raikou,Scizor,75.46,63.56,11.89,256
Suicune,Tauros,75.74,63.86,11.88,274
Cubone,Blastoise,63.31,51.45,11.87,70
Exploud,Pupitar,62.5,50.64,11.86,430
Croconaw,Charizard,66.53,54.7,11.84,69
Golbat,Venusaur,70.61,58.78,11.83,68
Celebi,Bellossom,70.16,58.34,11.82,270
Magby,Crobat,64.34,52.52,11.82,67
Plusle,Minun,63.15,51.33,11.81,236
Torchic,Charmeleon,65.07,53.28,11.79,97
Magnemite,Feraligatr,62.28,50.5,11.78,74
Porygon2,Scyther,67.82,56.05,11.77,70
Lugia,Moltres,73.43,61.67,11.76,271
Porygon2,Fearow,68.8,57.05,11.76,55
Sunkern,Vaporeon,57.55,45.79,11.76,75
Pikachu,Exploud,63.97,52.22,11.75,60
Mantine,Venusaur,69.42,57.68,11.74,80
Loudred,Scyther,68.75,57.01,11.74,66
Diglett,Golbat,62.18,50.45,11.73,159
Mareep,Electabuzz,61.5,49.77,11.73,59
Donphan,Pidgeot,71.27,59.56,11.71,296
Totodile,Blaziken,63.06,51.38,11.69,85
Scyther,Celebi,75.93,64.26,11.67,272
Numel,Crobat,61.47,49.8,11.67,71
Steelix,Celebi,69.86,58.2,11.67,260
Totodile,Ivysaur,61.46,49.8,11.65,79
Magikarp,Vaporeon,52.57,40.92,11.65,73
Mareep,Flareon,59.81,48.2,11.61,73
Loudred,Blissey,67.47,55.88,11.6,68
Bulbasaur,Charmeleon,65.01,53.41,11.6,99
Suicune,Raikou,77.65,66.07,11.58,274
Bulbasaur,Golbat,65.32,53.75,11.57,91
Smeargle,Fearow,62.91,51.35,11.56,74
Lugia,Ampharos,69.33,57.8,11.53,285
Torchic,Ivysaur,63.12,51.6,11.52,79
Fearow,Raikou,72.02,60.52,11.49,252
Pidgeot,Arcanine,72.24,60.75,11.49,293
Minun,Charizard,67.32,55.84,11.47,65
Porygon2,Exploud,68.57,57.12,11.45,149
Voltorb,Flygon,60.36,48.94,11.42,59
Charizard,Celebi,78.44,67.03,11.41,285
Porygon,Ponyta,57.73,46.34,11.38,83
Celebi,Vileplume,72.07,60.69,11.38,261
Blastoise,Celebi,76.43,65.07,11.36,266
Porygon2,Rapidash,66.08,54.74,11.34,59
Snorlax,Lugia,69.87,58.55,11.32,269
Exploud,Suicune,73.88,62.57,11.32,303
Typhlosion,Celebi,73.2,61.89,11.32,263
Golem,Celebi,71.35,60.05,11.31,249
Pikachu,Vaporeon,59.89,48.58,11.31,60
Geodude,Scyther,59.98,48.67,11.31,63
Bayleef,Flareon,62.22,50.92,11.29,66
Swampert,Venusaur,67.58,56.3,11.28,61
Magnemite,Sceptile,63.14,51.88,11.26,70
Electrode,Lugia,70.61,59.36,11.25,270
Diglett,Exeggutor,56.3,45.07,11.23,81
Diglett,Slowbro,57.36,46.12,11.23,84
Slowpoke,Crobat,61.3,50.08,11.23,61
Combusken,Raticate,67.84,56.6,11.23,330
Voltorb,Charizard,63.56,52.35,11.21,73
Meganium,Electabuzz,67.02,55.82,11.2,154
Tentacool,Flareon,57.68,46.48,11.2,68
Lugia,Tauros,75.28,64.08,11.2,261
Growlithe,Celebi,71.15,59.96,11.19,250
Charmeleon,Gyarados,69.15,57.95,11.19,81
Exploud,Lugia,73.95,62.78,11.17,278
Cradily,Celebi,70.66,59.49,11.17,272
Magnemite,Typhlosion,60.75,49.59,11.16,70
Cubone,Charizard,64.57,53.41,11.16,77
Exeggcute,Blastoise,61.34,50.19,11.15,72
Vibrava,Celebi,70.96,59.8,11.15,266
Loudred,Crobat,66.67,55.52,11.15,154
Slaking,Celebi,69.71,58.58,11.13,276
Wartortle,Blastoise,63.1,51.98,11.12,66
Numel,Exploud,63.48,52.36,11.12,81
Exeggcute,Ninetales,56.77,45.66,11.1,142
Geodude,Blastoise,60.58,49.48,11.1,89
Treecko,Charmeleon,62.32,51.25,11.07,68
Blaziken,Gyarados,68.92,57.84,11.07,83
Rapidash,Suicune,71.25,60.19,11.06,265
Numel,Flareon,60.2,49.16,11.04,73
Marill,Blastoise,60.54,49.52,11.02,65
Girafarig,Celebi,70.85,59.84,11.01,271
Phanpy,Golbat,64.99,54.0,10.99,158
Mudkip,Ivysaur,59.41,48.43,10.98,79
Chikorita,Meganium,62.17,51.22,10.95,82
Sunkern,Flareon,57.18,46.24,10.94,76
Xatu,Tauros,69.59,58.65,10.94,293
Marill,Scyther,59.65,48.71,10.94,71
Loudred,Flareon,65.81,54.89,10.92,155
Torchic,Blaziken,64.04,53.17,10.87,90
Blissey,Suicune,71.22,60.37,10.85,277
Slowpoke,Miltank,58.28,47.43,10.85,61
Quilava,Charizard,66.44,55.59,10.85,86
Magcargo,Suicune,66.89,56.06,10.83,286
Eevee,Crobat,58.57,47.75,10.82,75
Oddish,Electabuzz,61.43,50.61,10.82,68
Sandshrew,Blastoise,60.42,49.61,10.81,79
Plusle,Charizard,66.8,55.99,10.81,77
Squirtle,Ivysaur,59.02,48.22,10.81,70
Ivysaur,Venusaur,67.54,56.76,10.79,70
Smeargle,Crobat,59.63,48.86,10.77,156
Numel,Vaporeon,59.46,48.72,10.75,76
Charizard,Suicune,75.01,64.27,10.74,294
Whismur,Crobat,61.78,51.05,10.73,67
Tentacruel,Celebi,70.82,60.09,10.73,302
Electabuzz,Celebi,74.43,63.7,10.72,276
Graveler,Celebi,70.18,59.47,10.72,270
Exploud,Gyarados,68.64,57.92,10.72,352
Scizor,Arcanine,72.03,61.33,10.71,290
Sandslash,Celebi,71.03,60.31,10.71,267
Whismur,Larvitar,57.56,46.88,10.69,336
Skarmory,Suicune,69.54,58.87,10.67,286
Chikorita,Mantine,60.81,50.16,10.66,82
Flygon,Lugia,71.73,61.07,10.66,276
Pidgey,Exploud,63.17,52.53,10.64,72
Cyndaquil,Blaziken,62.53,51.9,10.63,94
Wartortle,Charizard,64.57,53.95,10.62,79
Celebi,Tropius,70.22,59.61,10.62,273
Fearow,Lugia,73.33,62.71,10.62,258
Meganium,Flareon,64.84,54.25,10.59,132
Electrode,Suicune,69.69,59.15,10.55,297
Magikarp,Golbat,55.5,44.95,10.55,142
Sceptile,Celebi,74.72,64.18,10.54,268
Sunkern,Electabuzz,58.34,47.81,10.53,71
Torchic,Meganium,64.12,53.59,10.53,85
Bayleef,Crobat,62.09,51.56,10.53,67
Pikachu,Golbat,63.13,52.61,10.52,134
Smeargle,Starmie,59.21,48.7,10.51,59
Porygon2,Raichu,64.38,53.9,10.48,57
Magikarp,Exploud,55.03,44.56,10.46,69
Pidgey,Blaziken,62.92,52.46,10.46,144
Scyther,Suicune,71.94,61.5,10.44,277
Charizard,Lugia,74.91,64.48,10.43,308
Suicune,Scizor,75.96,65.53,10.43,260
Treecko,Meganium,61.98,51.56,10.42,92
Donphan,Scizor,70.55,60.14,10.41,288
Meowth,Exploud,58.42,48.01,10.41,82
Jolteon,Lugia,71.61,61.21,10.4,262
Magnemite,Flareon,60.21,49.84,10.37,151
Suicune,Vileplume,68.29,57.93,10.36,295
Porygon2,Tentacruel,62.24,51.88,10.36,136
Rattata,Mantine,60.65,50.29,10.36,81
Geodude,Sceptile,58.95,48.59,10.35,58
Flaaffy,Scizor,68.12,57.77,10.35,285
Loudred,Charmeleon,68.46,58.12,10.34,250
Natu,Scyther,61.89,51.55,10.34,67
Porygon,Loudred,59.43,49.09,10.33,83
Whismur,Exploud,63.93,53.61,10.33,80
Quilava,Blastoise,63.95,53.62,10.32,85
Ponyta,Charizard,67.34,57.03,10.31,53
Raikou,Arcanine,72.17,61.86,10.31,309
Raticate,Flareon,63.28,52.97,10.31,84
Rattata,Meganium,61.65,51.36,10.3,86
Staryu,Celebi,67.91,57.65,10.26,246
Zubat,Crobat,60.47,50.22,10.25,73
Trapinch,Crobat,58.85,48.61,10.24,143
Raikou,Moltres,69.73,59.48,10.24,265
Grovyle,Blastoise,63.84,53.64,10.2,84
Wingull,Slowbro,57.66,47.48,10.18,73
Starmie,Lugia,70.23,60.06,10.17,296
Porygon2,Jolteon,65.71,55.55,10.16,159
Persian,Celebi,71.83,61.69,10.14,268
Pikachu,Xatu,62.62,52.48,10.13,56
Azumarill,Celebi,68.73,58.6,10.13,274
Pelipper,Pidgeot,63.8,53.67,10.13,257
Rapidash,Lugia,70.52,60.41,10.12,293
Sceptile,Suicune,71.54,61.42,10.12,303
Ponyta,Blastoise,65.17,55.07,10.1,73
Skarmory,Raikou,66.99,56.89,10.09,286
Raticate,Crobat,63.69,53.6,10.08,59
Suicune,Ampharos,67.65,57.58,10.07,301
Gloom,Celebi,68.08,58.02,10.06,263
Donphan,Raikou,70.73,60.67,10.06,293
Xatu,Charizard,69.12,59.06,10.06,343
Sunflora,Blastoise,61.68,51.64,10.04,75
Lileep,Celebi,68.82,58.78,10.04,290
Chikorita,Swampert,58.8,48.77,10.03,81
Porygon2,Vaporeon,63.51,53.48,10.03,135
Pidgeotto,Celebi,69.16,59.14,10.02,279
Diglett,Magmar,55.86,45.86,10.0,63
Elekid,Crobat,61.56,51.59,9.97,57
Feraligatr,Celebi,72.74,62.8,9.95,285
Scyther,Raikou,69.46,59.53,9.93,284
Sceptile,Lugia,71.55,61.63,9.92,286
Blastoise,Lugia,72.44,62.52,9.91,263
Phanpy,Slowbro,59.58,49.68,9.9,82
Charmeleon,Venusaur,68.33,58.44,9.89,64
Starmie,Suicune,69.73,59.84,9.88,269
Porygon2,Flareon,63.79,53.92,9.87,146
Manectric,Suicune,69.98,60.12,9.86,312
Slakoth,Meganium,61.26,51.4,9.86,88
Plusle,Gyarados,64.96,55.11,9.85,64
Porygon2,Manectric,64.52,54.67,9.85,70
Vaporeon,Celebi,71.52,61.69,9.84,276
Slakoth,Ivysaur,59.23,49.41,9.82,96
Sunkern,Jolteon,57.67,47.86,9.81,82
Pidgeot,Tauros,70.59,60.78,9.81,266
Mudkip,Mantine,59.16,49.35,9.8,72
Mareep,Crobat,58.62,48.83,9.79,58
Mareep,Exeggutor,56.19,46.39,9.79,66
Magnemite,Exploud,62.81,53.03,9.78,130
Exploud,Scizor,69.83,60.06,9.77,283
Mareep,Ninetales,56.35,46.61,9.74,64
Pelipper,Celebi,69.24,59.51,9.74,278
Manectric,Lugia,70.05,60.34,9.71,291
Cyndaquil,Charmeleon,61.7,52.01,9.7,90
Whismur,Charmeleon,63.31,53.64,9.66,157
Pidgey,Jolteon,60.62,50.96,9.66,83
Ivysaur,Charizard,66.82,57.16,9.66,60
Combusken,Bayleef,64.2,54.56,9.64,327
Geodude,Fearow,59.3,49.67,9.63,69
Porygon2,Flygon,65.01,55.41,9.61,62
Magikarp,Charmeleon,54.21,44.61,9.6,147
Loudred,Porygon2,67.68,58.1,9.58,213
Mantine,Gyarados,66.78,57.2,9.58,70
Electabuzz,Lugia,70.73,61.16,9.57,283
Magnemite,Vaporeon,58.95,49.39,9.56,172
Rattata,Blaziken,60.49,50.94,9.56,76
Porygon2,Blissey,64.46,54.91,9.55,79
Bayleef,Electabuzz,62.05,52.5,9.55,71
Flygon,Suicune,70.4,60.86,9.54,278
Blaziken,Charizard,68.25,58.73,9.52,68
Pidgeot,Moltres,67.88,58.38,9.51,295
Raichu,Lugia,69.06,59.56,9.5,266
Porygon,Minun,54.65,45.16,9.49,98
Mudkip,Meganium,59.91,50.42,9.49,72
Magikarp,Ninetales,49.28,39.79,9.49,80
Phanpy,Vaporeon,59.45,49.98,9.47,66
Mareep,Golbat,61.23,51.77,9.46,156
Blissey,Lugia,70.04,60.58,9.46,278
Cyndaquil,Meganium,61.75,52.31,9.44,85
Celebi,Groudon,75.32,65.88,9.44,276
Golduck,Celebi,69.11,59.68,9.43,280
Suicune,Tropius,66.27,56.84,9.43,303
Noctowl,Celebi,70.42,61.0,9.42,272
Loudred,Exeggutor,62.5,53.08,9.42,124
Crobat,Celebi,72.19,62.77,9.42,262
Psyduck,Blastoise,58.84,49.43,9.41,56
Porygon2,Ponyta,64.75,55.35,9.4,229
Magnemite,Xatu,62.69,53.3,9.39,138
Cubone,Scyther,60.01,50.64,9.38,75
Donphan,Arcanine,67.81,58.43,9.38,260
Lugia,Scizor,75.11,65.75,9.36,259
Vulpix,Flareon,56.29,46.93,9.36,70
Typhlosion,Lugia,68.69,59.34,9.35,290
Sceptile,Raikou,68.78,59.45,9.33,267
Porygon2,Crobat,63.88,54.56,9.32,127
Loudred,Rapidash,65.02,55.7,9.32,79
Totodile,Meganium,61.12,51.8,9.32,78
Camerupt,Celebi,68.3,59.01,9.3,263
Meowth,Flareon,54.12,44.82,9.3,61
Rattata,Ivysaur,58.66,49.37,9.3,101
Magikarp,Blaziken,53.78,44.5,9.29,163
Raticate,Exploud,65.42,56.16,9.26,78
Diglett,Jolteon,57.73,48.5,9.24,72
Lugia,Vileplume,67.37,58.14,9.23,288
Larvitar,Flareon,56.38,47.17,9.21,71
Treecko,Combusken,60.87,51.66,9.21,265
Numel,Electabuzz,59.92,50.73,9.19,73
Flaaffy,Gyarados,64.8,55.62,9.18,379
Raikou,Groudon,70.31,61.15,9.16,263
Marill,Sceptile,57.79,48.63,9.16,69
Zubat,Electabuzz,60.29,51.15,9.14,88
Porygon2,Exeggutor,61.26,52.12,9.14,124
Larvitar,Donphan,59.56,50.44,9.13,77
Porygon2,Xatu,66.5,57.38,9.12,122
Noctowl,Raikou,65.37,56.27,9.1,261
Chikorita,Combusken,60.42,51.31,9.1,258
Blissey,Scizor,66.95,57.86,9.09,261
Flygon,Scizor,67.42,58.35,9.07,272
Graveler,Lugia,65.98,56.92,9.06,248
Lugia,Pidgeot,74.23,65.17,9.06,267
Tentacool,Vaporeon,55.09,46.03,9.06,70
Feraligatr,Lugia,69.29,60.25,9.04,279
Porygon2,Persian,62.52,53.48,9.04,183
Magcargo,Lugia,65.3,56.27,9.03,277
Charmeleon,Vaporeon,62.52,53.49,9.03,125
Voltorb,Sceptile,58.53,49.5,9.03,71
Electrike,Celebi,68.62,59.62,9.01,285
Exeggutor,Celebi,69.33,60.33,9.0,256
Whismur,Slowbro,58.67,49.66,9.0,85
Fearow,Arcanine,67.29,58.28,9.0,254
Cradily,Lugia,65.93,56.95,8.99,276
Flaaffy,Venusaur,65.09,56.11,8.99,347
Exploud,Arcanine,67.33,58.36,8.97,285
Porygon2,Typhlosion,62.65,53.67,8.97,63
Golem,Lugia,66.46,57.5,8.96,263
Mareep,Vaporeon,56.7,47.75,8.95,60
Cacnea,Flareon,57.61,48.67,8.94,58
Pidgey,Crobat,58.91,49.97,8.93,66
Phanpy,Magmar,58.34,49.41,8.93,67
Sandslash,Lugia,66.69,57.77,8.92,303
Mareep,Blaziken,60.23,51.32,8.91,146
Raikou,Tauros,70.78,61.89,8.89,306
Trapinch,Blastoise,59.79,50.91,8.88,54
Raikou,Tyranitar,65.84,56.97,8.87,274
Smeargle,Flareon,57.09,48.23,8.86,129
Scizor,Moltres,67.81,58.95,8.86,270
Lugia,Tropius,65.91,57.06,8.85,273
Natu,Electabuzz,59.83,51.0,8.83,128
Cacturne,Celebi,69.7,60.87,8.83,323
Xatu,Pidgeot,68.56,59.75,8.81,272
Gyarados,Suicune,72.2,63.39,8.81,319
Miltank,Celebi,68.93,60.12,8.8,267
Magnemite,Cradily,55.98,47.2,8.78,59
Trapinch,Fearow,59.88,51.1,8.78,63
Vulpix,Exeggutor,53.9,45.12,8.78,76
Spearow,Sceptile,61.51,52.74,8.76,85
Numel,Slowbro,57.18,48.41,8.76,66
Smeargle,Blissey,57.97,49.22,8.75,58
Charizard,Raikou,71.04,62.3,8.74,286
Slakoth,Swampert,57.68,48.95,8.73,92
Totodile,Combusken,60.62,51.89,8.73,276
Scizor,Tauros,70.09,61.36,8.73,270
Squirtle,Mantine,57.87,49.14,8.73,85
Flareon,Celebi,70.85,62.14,8.72,291
Persian,Suicune,67.65,58.93,8.72,298
Marshtomp,Exploud,63.24,54.53,8.72,83
Dugtrio,Lugia,66.84,58.13,8.7,280
Magikarp,Xatu,53.53,44.83,8.7,75
Magikarp,Slowbro,49.31,40.62,8.68,68
Slakoth,Mantine,59.01,50.33,8.67,91
Meganium,Jolteon,64.54,55.87,8.67,145
Magikarp,Electabuzz,51.6,42.95,8.66,78
Suicune,Tyranitar,67.59,58.94,8.65,278
Lugia,Tyranitar,67.81,59.16,8.65,267
Blastoise,Suicune,70.96,62.31,8.65,271
Sunkern,Slowbro,54.12,45.49,8.63,70
Mantine,Electabuzz,63.39,54.75,8.63,143
Vulpix,Exploud,58.75,50.12,8.63,63
Smeargle,Exploud,60.04,51.42,8.62,147
Voltorb,Blissey,57.05,48.45,8.61,67
Meganium,Fearow,65.97,57.37,8.6,72
Charmeleon,Charizard,67.43,58.84,8.59,80
Diglett,Charmeleon,58.68,50.11,8.57,146
Electabuzz,Suicune,69.52,60.95,8.57,322
Combusken,Phanpy,62.62,54.06,8.56,335
Magnemite,Fearow,61.51,52.96,8.55,67
