Tier,Slot0,Slot1,Slot2,Slot3,Slot4,Slot5,Wins,Losses,Draws,WinRate%
1,Rattata,Charmander,Torchic,,,,57,16,0,78.1
1,Treecko,Charmander,Chikorita,,,,39,11,0,78.0
1,Bulbasaur,Charmander,Mudkip,,,,46,13,0,78.0
1,Torchic,Charmander,Mudkip,,,,46,13,0,78.0
1,Mudkip,Charmander,Totodile,,,,46,13,0,78.0
1,Charmander,Treecko,Rattata,,,,46,13,0,78.0
1,Charmander,Squirtle,Bulbasaur,,,,45,13,0,77.6
1,Mudkip,Charmander,Treecko,,,,45,13,0,77.6
1,Totodile,Charmander,Cyndaquil,,,,45,13,0,77.6
1,Totodile,Torchic,Squirtle,,,,45,13,0,77.6
1,Chikorita,Charmander,Rattata,,,,38,11,0,77.6
1,Charmander,Totodile,Bulbasaur,,,,48,14,0,77.4
1,Bulbasaur,Cyndaquil,Totodile,,,,48,14,0,77.4
1,Charmander,Bulbasaur,Mudkip,,,,48,14,0,77.4
1,Charmander,Chikorita,Rattata,,,,48,14,0,77.4
1,Torchic,Charmander,Bulbasaur,,,,41,12,0,77.4
1,Totodile,Charmander,Treecko,,,,51,15,0,77.3
1,Totodile,Charmander,Torchic,,,,44,13,0,77.2
1,Totodile,Charmander,Cyndaquil,,,,47,14,0,77.0
1,Charmander,Rattata,Cyndaquil,,,,47,14,0,77.0
1,Treecko,Charmander,Totodile,,,,47,14,0,77.0
1,Charmander,Rattata,Treecko,,,,57,17,0,77.0
1,Charmander,Mudkip,Bulbasaur,,,,57,17,0,77.0
1,Torchic,Bulbasaur,Charmander,,,,50,15,0,76.9
1,Rattata,Charmander,Torchic,,,,50,15,0,76.9
1,Squirtle,Charmander,Treecko,,,,40,12,0,76.9
1,Mudkip,Charmander,Totodile,,,,50,15,0,76.9
1,Torchic,Bulbasaur,Charmander,,,,43,13,0,76.8
1,Charmander,Rattata,Bulbasaur,,,,43,13,0,76.8
1,Squirtle,Charmander,Totodile,,,,43,13,0,76.8
1,Torchic,Charmander,Treecko,,,,46,14,0,76.7
1,Charmander,Bulbasaur,Cyndaquil,,,,46,14,0,76.7
1,Bulbasaur,Charmander,Totodile,,,,46,14,0,76.7
1,Mudkip,Charmander,Totodile,,,,46,14,0,76.7
1,Chikorita,Torchic,Slakoth,,,,46,14,0,76.7
1,Mudkip,Charmander,Bulbasaur,,,,49,15,0,76.6
1,Treecko,Cyndaquil,Torchic,,,,42,13,0,76.4
1,Torchic,Charmander,Bulbasaur,,,,42,13,0,76.4
1,Charmander,Totodile,Chikorita,,,,45,14,0,76.3
1,Torchic,Rattata,Bulbasaur,,,,48,15,0,76.2
1,Mudkip,Charmander,Rattata,,,,51,16,0,76.1
1,Torchic,Bulbasaur,Cyndaquil,,,,51,16,0,76.1
1,Torchic,Charmander,Squirtle,,,,51,16,0,76.1
1,Charmander,Treecko,Totodile,,,,54,17,0,76.1
1,Charmander,Treecko,Torchic,,,,38,12,0,76.0
1,Totodile,Charmander,Mudkip,,,,41,13,0,75.9
1,Charmander,Torchic,Totodile,,,,41,13,0,75.9
1,Charmander,Chikorita,Mudkip,,,,41,13,0,75.9
1,Charmander,Rattata,Bulbasaur,,,,44,14,0,75.9
1,Cyndaquil,Bulbasaur,Totodile,,,,44,14,0,75.9
1,Treecko,Charmander,Totodile,,,,44,14,0,75.9
1,Mudkip,Charmander,Totodile,,,,44,14,0,75.9
1,Totodile,Charmander,Treecko,,,,47,15,0,75.8
1,Rattata,Charmander,Torchic,,,,50,16,0,75.8
1,Squirtle,Bulbasaur,Charmander,,,,40,13,0,75.5
1,Charmander,Torchic,Mudkip,,,,40,13,0,75.5
1,Charmander,Treecko,Mudkip,,,,40,13,0,75.5
1,Totodile,Charmander,Slakoth,,,,40,13,0,75.5
1,Charmander,Rattata,Torchic,,,,43,14,0,75.4
1,Rattata,Charmander,Chikorita,,,,43,14,0,75.4
1,Torchic,Treecko,Cyndaquil,,,,43,14,0,75.4
1,Rattata,Cyndaquil,Bulbasaur,,,,43,14,0,75.4
1,Cyndaquil,Treecko,Torchic,,,,43,14,0,75.4
1,Treecko,Charmander,Totodile,,,,43,14,0,75.4
1,Bulbasaur,Charmander,Squirtle,,,,46,15,0,75.4
1,Slakoth,Torchic,Bulbasaur,,,,46,15,0,75.4
1,Charmander,Rattata,Slakoth,,,,46,15,0,75.4
1,Charmander,Rattata,Mudkip,,,,46,15,0,75.4
1,Charmander,Cyndaquil,Bulbasaur,,,,48,16,0,75.0
1,Slakoth,Charmander,Rattata,,,,48,16,0,75.0
1,Totodile,Charmander,Torchic,,,,51,17,0,75.0
1,Chikorita,Charmander,Rattata,,,,42,14,0,75.0
1,Bulbasaur,Charmander,Mudkip,,,,42,14,0,75.0
1,Bulbasaur,Charmander,Totodile,,,,48,16,0,75.0
1,Charmander,Treecko,Cyndaquil,,,,51,17,0,75.0
1,Mudkip,Charmander,Totodile,,,,53,18,0,74.6
1,Squirtle,Charmander,Chikorita,,,,50,17,0,74.6
1,Charmander,Rattata,Mudkip,,,,50,17,0,74.6
1,Torchic,Charmander,Treecko,,,,47,16,0,74.6
1,Mudkip,Charmander,Totodile,,,,47,16,0,74.6
1,Charmander,Treecko,Totodile,,,,47,16,0,74.6
1,Torchic,Charmander,Rattata,,,,47,16,0,74.6
1,Charmander,Torchic,Cyndaquil,,,,47,16,0,74.6
1,Charmander,Torchic,Porygon,,,,44,15,0,74.6
1,Charmander,Cyndaquil,Torchic,,,,44,15,0,74.6
1,Charmander,Rattata,Totodile,,,,44,15,0,74.6
1,Totodile,Charmander,Squirtle,,,,44,15,0,74.6
1,Chikorita,Charmander,Torchic,,,,44,15,0,74.6
1,Totodile,Torchic,Mudkip,,,,44,15,0,74.6
1,Bulbasaur,Charmander,Totodile,,,,44,15,0,74.6
1,Rattata,Charmander,Chikorita,,,,44,15,0,74.6
1,Charmander,Torchic,Cyndaquil,,,,44,15,0,74.6
1,Treecko,Cyndaquil,Bulbasaur,,,,41,14,0,74.5
1,Bulbasaur,Cyndaquil,Chikorita,,,,41,14,0,74.5
1,Squirtle,Charmander,Mudkip,,,,41,14,0,74.5
1,Charmander,Torchic,Treecko,,,,41,14,0,74.5
1,Charmander,Treecko,Totodile,,,,38,13,0,74.5
1,Totodile,Torchic,Cyndaquil,,,,38,13,0,74.5
1,Rattata,Charmander,Slakoth,,,,52,18,0,74.3
1,Torchic,Bulbasaur,Charmander,,,,52,18,0,74.3
1,Charmander,Bulbasaur,Cyndaquil,,,,52,18,0,74.3
1,Bulbasaur,Torchic,Mudkip,,,,46,16,0,74.2
1,Rattata,Torchic,Mudkip,,,,46,16,0,74.2
1,Bulbasaur,Charmander,Mudkip,,,,46,16,0,74.2
1,Rattata,Charmander,Treecko,,,,46,16,0,74.2
1,Totodile,Charmander,Squirtle,,,,46,16,0,74.2
1,Torchic,Cyndaquil,Bulbasaur,,,,43,15,0,74.1
1,Mudkip,Torchic,Bulbasaur,,,,43,15,0,74.1
1,Charmander,Torchic,Rattata,,,,43,15,0,74.1
1,Totodile,Cyndaquil,Bulbasaur,,,,43,15,0,74.1
1,Charmander,Rattata,Torchic,,,,40,14,0,74.1
1,Mudkip,Charmander,Squirtle,,,,40,14,0,74.1
1,Torchic,Bulbasaur,Cyndaquil,,,,40,14,0,74.1
1,Bulbasaur,Charmander,Torchic,,,,40,14,0,74.1
1,Charmander,Rattata,Totodile,,,,37,13,0,74.0
1,Bulbasaur,Torchic,Squirtle,,,,48,17,0,73.8
1,Treecko,Charmander,Slakoth,,,,48,17,0,73.8
1,Bulbasaur,Charmander,Torchic,,,,48,17,0,73.8
1,Mudkip,Charmander,Chikorita,,,,45,16,0,73.8
1,Totodile,Charmander,Treecko,,,,45,16,0,73.8
1,Charmander,Bulbasaur,Squirtle,,,,45,16,0,73.8
1,Totodile,Charmander,Torchic,,,,45,16,0,73.8
1,Torchic,Bulbasaur,Mudkip,,,,45,16,0,73.8
1,Totodile,Charmander,Mudkip,,,,42,15,0,73.7
1,Torchic,Bulbasaur,Mudkip,,,,42,15,0,73.7
1,Charmander,Torchic,Treecko,,,,42,15,0,73.7
1,Torchic,Slakoth,Totodile,,,,42,15,0,73.7
1,Bulbasaur,Treecko,Torchic,,,,42,15,0,73.7
1,Rattata,Cyndaquil,Bulbasaur,,,,42,15,0,73.7
1,Charmander,Chikorita,Treecko,,,,42,15,0,73.7
1,Cyndaquil,Charmander,Totodile,,,,39,14,0,73.6
1,Mudkip,Charmander,Chikorita,,,,39,14,0,73.6
1,Chikorita,Charmander,Rattata,,,,39,14,0,73.6
1,Rattata,Charmander,Treecko,,,,39,14,0,73.6
1,Treecko,Charmander,Squirtle,,,,36,13,0,73.5
1,Charmander,Bulbasaur,Rattata,,,,36,13,0,73.5
1,Bulbasaur,Cyndaquil,Chikorita,,,,47,17,0,73.4
1,Charmander,Torchic,Mudkip,,,,47,17,0,73.4
1,Slakoth,Charmander,Bulbasaur,,,,47,17,0,73.4
1,Charmander,Bulbasaur,Slakoth,,,,47,17,0,73.4
1,Mudkip,Charmander,Slakoth,,,,47,17,0,73.4
1,Charmander,Treecko,Cyndaquil,,,,44,16,0,73.3
1,Bulbasaur,Torchic,Chikorita,,,,44,16,0,73.3
1,Totodile,Charmander,Bulbasaur,,,,41,15,0,73.2
1,Charmander,Treecko,Rattata,,,,41,15,0,73.2
1,Cyndaquil,Charmander,Torchic,,,,41,15,0,73.2
1,Torchic,Bulbasaur,Slakoth,,,,41,15,0,73.2
1,Mudkip,Charmander,Rattata,,,,41,15,0,73.2
1,Mudkip,Bulbasaur,Totodile,,,,41,15,0,73.2
1,Charmander,Cyndaquil,Torchic,,,,41,15,0,73.2
1,Torchic,Bulbasaur,Mudkip,,,,41,15,0,73.2
1,Rattata,Cyndaquil,Bulbasaur,,,,49,18,0,73.1
1,Rattata,Charmander,Mudkip,,,,49,18,0,73.1
1,Chikorita,Charmander,Bulbasaur,,,,57,21,0,73.1
1,Treecko,Charmander,Chikorita,,,,38,14,0,73.1
1,Porygon,Charmander,Totodile,,,,38,14,0,73.1
1,Bulbasaur,Charmander,Chikorita,,,,38,14,0,73.1
1,Charmander,Treecko,Cyndaquil,,,,46,17,0,73.0
1,Charmander,Torchic,Totodile,,,,46,17,0,73.0
1,Rattata,Charmander,Totodile,,,,46,17,0,73.0
1,Torchic,Mudkip,Bulbasaur,,,,43,16,0,72.9
1,Cyndaquil,Bulbasaur,Torchic,,,,43,16,0,72.9
1,Chikorita,Charmander,Treecko,,,,43,16,0,72.9
1,Totodile,Charmander,Chikorita,,,,43,16,0,72.9
1,Torchic,Charmander,Cyndaquil,,,,43,16,0,72.9
1,Mudkip,Bulbasaur,Torchic,,,,48,18,0,72.7
1,Bulbasaur,Cyndaquil,Totodile,,,,40,15,0,72.7
1,Treecko,Charmander,Slakoth,,,,48,18,0,72.7
1,Totodile,Cyndaquil,Squirtle,,,,40,15,0,72.7
1,Charmander,Treecko,Totodile,,,,48,18,0,72.7
1,Torchic,Charmander,Rattata,,,,40,15,0,72.7
1,Torchic,Rattata,Charmander,,,,40,15,0,72.7
1,Bulbasaur,Cyndaquil,Treecko,,,,45,17,0,72.6
1,Charmander,Chikorita,Rattata,,,,45,17,0,72.6
1,Torchic,Bulbasaur,Charmander,,,,45,17,0,72.6
1,Charmander,Squirtle,Torchic,,,,45,17,0,72.6
1,Squirtle,Charmander,Chikorita,,,,37,14,0,72.5
1,Bulbasaur,Squirtle,Slakoth,,,,37,14,0,72.5
1,Bulbasaur,Charmander,Slakoth,,,,37,14,0,72.5
1,Bulbasaur,Torchic,Mudkip,,,,37,14,0,72.5
1,Bulbasaur,Charmander,Treecko,,,,50,19,0,72.5
1,Rattata,Bulbasaur,Torchic,,,,50,19,0,72.5
1,Bulbasaur,Torchic,Totodile,,,,50,19,0,72.5
1,Squirtle,Charmander,Torchic,,,,50,19,0,72.5
1,Chikorita,Charmander,Rattata,,,,42,16,0,72.4
1,Bulbasaur,Cyndaquil,Chikorita,,,,42,16,0,72.4
1,Charmander,Squirtle,Torchic,,,,42,16,0,72.4
1,Charmander,Bulbasaur,Slakoth,,,,42,16,0,72.4
1,Chikorita,Totodile,Cyndaquil,,,,42,16,0,72.4
1,Bulbasaur,Mudkip,Torchic,,,,42,16,0,72.4
1,Totodile,Bulbasaur,Charmander,,,,42,16,0,72.4
1,Treecko,Charmander,Bulbasaur,,,,42,16,0,72.4
1,Charmander,Treecko,Cyndaquil,,,,47,18,0,72.3
1,Charmander,Cyndaquil,Squirtle,,,,47,18,0,72.3
1,Charmander,Treecko,Mudkip,,,,52,20,0,72.2
1,Charmander,Torchic,Totodile,,,,39,15,0,72.2
1,Charmander,Totodile,Squirtle,,,,39,15,0,72.2
1,Mudkip,Cyndaquil,Bulbasaur,,,,39,15,0,72.2
1,Torchic,Treecko,Charmander,,,,52,20,0,72.2
1,Charmander,Treecko,Rattata,,,,39,15,0,72.2
1,Bulbasaur,Treecko,Charmander,,,,39,15,0,72.2
1,Totodile,Charmander,Cyndaquil,,,,44,17,0,72.1
1,Charmander,Bulbasaur,Mudkip,,,,44,17,0,72.1
1,Totodile,Cyndaquil,Treecko,,,,44,17,0,72.1
1,Torchic,Rattata,Squirtle,,,,44,17,0,72.1
1,Charmander,Bulbasaur,Mudkip,,,,49,19,0,72.1
1,Torchic,Cyndaquil,Chikorita,,,,41,16,0,71.9
1,Mudkip,Charmander,Totodile,,,,41,16,0,71.9
1,Slakoth,Torchic,Bulbasaur,,,,41,16,0,71.9
1,Totodile,Bulbasaur,Mudkip,,,,41,16,0,71.9
1,Squirtle,Bulbasaur,Torchic,,,,41,16,0,71.9
1,Totodile,Torchic,Slakoth,,,,41,16,0,71.9
1,Treecko,Torchic,Slakoth,,,,41,16,0,71.9
1,Slakoth,Charmander,Bulbasaur,,,,41,16,0,71.9
1,Bulbasaur,Charmander,Mudkip,,,,46,18,0,71.9
1,Slakoth,Charmander,Torchic,,,,46,18,0,71.9
1,Torchic,Bulbasaur,Charmander,,,,46,18,0,71.9
1,Rattata,Charmander,Treecko,,,,51,20,0,71.8
1,Mudkip,Torchic,Slakoth,,,,51,20,0,71.8
1,Cyndaquil,Bulbasaur,Rattata,,,,38,15,0,71.7
1,Treecko,Bulbasaur,Charmander,,,,38,15,0,71.7
1,Charmander,Bulbasaur,Porygon,,,,38,15,0,71.7
1,Charmander,Rattata,Chikorita,,,,43,17,0,71.7
1,Charmander,Cyndaquil,Mudkip,,,,43,17,0,71.7
1,Squirtle,Charmander,Slakoth,,,,43,17,0,71.7
1,Charmander,Totodile,Torchic,,,,43,17,0,71.7
1,Chikorita,Cyndaquil,Totodile,,,,48,19,0,71.6
1,Rattata,Charmander,Chikorita,,,,48,19,0,71.6
1,Torchic,Totodile,Mudkip,,,,48,19,0,71.6
1,Totodile,Charmander,Bulbasaur,,,,45,18,0,71.4
1,Torchic,Rattata,Charmander,,,,45,18,0,71.4
1,Totodile,Torchic,Cyndaquil,,,,40,16,0,71.4
1,Charmander,Treecko,Mudkip,,,,45,18,0,71.4
1,Rattata,Torchic,Bulbasaur,,,,40,16,0,71.4
1,Bulbasaur,Charmander,Squirtle,,,,40,16,0,71.4
1,Torchic,Charmander,Chikorita,,,,50,20,0,71.4
1,Treecko,Torchic,Bulbasaur,,,,40,16,0,71.4
1,Cyndaquil,Rattata,Charmander,,,,40,16,0,71.4
1,Mudkip,Charmander,Chikorita,,,,45,18,0,71.4
1,Torchic,Rattata,Bulbasaur,,,,52,21,0,71.2
1,Torchic,Bulbasaur,Charmander,,,,47,19,0,71.2
1,Totodile,Torchic,Bulbasaur,,,,47,19,0,71.2
1,Rattata,Charmander,Bulbasaur,,,,42,17,0,71.2
1,Totodile,Cyndaquil,Torchic,,,,42,17,0,71.2
1,Treecko,Cyndaquil,Slakoth,,,,42,17,0,71.2
1,Charmander,Chikorita,Slakoth,,,,42,17,0,71.2
1,Charmander,Rattata,Bulbasaur,,,,42,17,0,71.2
1,Treecko,Cyndaquil,Bulbasaur,,,,42,17,0,71.2
1,Slakoth,Charmander,Rattata,,,,42,17,0,71.2
1,Bulbasaur,Cyndaquil,Totodile,,,,37,15,0,71.2
1,Treecko,Charmander,Chikorita,,,,37,15,0,71.2
1,Torchic,Charmander,Bulbasaur,,,,37,15,0,71.2
1,Charmander,Torchic,Cyndaquil,,,,49,20,0,71.0
1,Chikorita,Torchic,Bulbasaur,,,,44,18,0,71.0
1,Charmander,Bulbasaur,Cyndaquil,,,,44,18,0,71.0
1,Torchic,Totodile,Rattata,,,,44,18,0,71.0
1,Charmander,Cyndaquil,Mudkip,,,,44,18,0,71.0
1,Cyndaquil,Charmander,Torchic,,,,44,18,0,71.0
1,Rattata,Cyndaquil,Torchic,,,,44,18,0,71.0
1,Charmander,Squirtle,Treecko,,,,39,16,0,70.9
1,Totodile,Charmander,Rattata,,,,39,16,0,70.9
1,Charmander,Cyndaquil,Chikorita,,,,39,16,0,70.9
1,Charmander,Bulbasaur,Cyndaquil,,,,39,16,0,70.9
1,Rattata,Charmander,Treecko,,,,46,19,0,70.8
1,Chikorita,Charmander,Torchic,,,,46,19,0,70.8
1,Charmander,Squirtle,Slakoth,,,,46,19,0,70.8
1,Squirtle,Charmander,Mudkip,,,,46,19,0,70.8
1,Cyndaquil,Totodile,Bulbasaur,,,,46,19,0,70.8
1,Mudkip,Charmander,Torchic,,,,46,19,0,70.8
1,Bulbasaur,Charmander,Cyndaquil,,,,41,17,0,70.7
1,Charmander,Torchic,Bulbasaur,,,,41,17,0,70.7
1,Charmander,Totodile,Porygon,,,,41,17,0,70.7
1,Chikorita,Rattata,Charmander,,,,41,17,0,70.7
1,Cyndaquil,Totodile,Torchic,,,,41,17,0,70.7
1,Rattata,Charmander,Treecko,,,,41,17,0,70.7
1,Bulbasaur,Cyndaquil,Torchic,,,,41,17,0,70.7
1,Charmander,Squirtle,Chikorita,,,,36,15,0,70.6
1,Totodile,Charmander,Porygon,,,,48,20,0,70.6
1,Bulbasaur,Charmander,Chikorita,,,,48,20,0,70.6
1,Torchic,Charmander,Squirtle,,,,43,18,0,70.5
1,Bulbasaur,Charmander,Mudkip,,,,43,18,0,70.5
1,Charmander,Treecko,Mudkip,,,,43,18,0,70.5
1,Bulbasaur,Charmander,Squirtle,,,,43,18,0,70.5
1,Charmander,Torchic,Slakoth,,,,43,18,0,70.5
1,Charmander,Chikorita,Treecko,,,,43,18,0,70.5
1,Charmander,Bulbasaur,Totodile,,,,43,18,0,70.5
1,Totodile,Cyndaquil,Treecko,,,,43,18,0,70.5
1,Squirtle,Charmander,Torchic,,,,50,21,0,70.4
1,Bulbasaur,Treecko,Cyndaquil,,,,38,16,0,70.4
1,Bulbasaur,Torchic,Totodile,,,,38,16,0,70.4
1,Mudkip,Charmander,Squirtle,,,,38,16,0,70.4
1,Charmander,Rattata,Mudkip,,,,38,16,0,70.4
1,Charmander,Totodile,Cyndaquil,,,,45,19,0,70.3
1,Mudkip,Torchic,Slakoth,,,,45,19,0,70.3
1,Bulbasaur,Mudkip,Charmander,,,,45,19,0,70.3
1,Totodile,Torchic,Treecko,,,,45,19,0,70.3
1,Bulbasaur,Treecko,Torchic,,,,45,19,0,70.3
1,Squirtle,Charmander,Chikorita,,,,52,22,0,70.3
1,Torchic,Treecko,Totodile,,,,40,17,0,70.2
1,Charmander,Totodile,Torchic,,,,40,17,0,70.2
1,Squirtle,Bulbasaur,Charmander,,,,40,17,0,70.2
1,Torchic,Charmander,Slakoth,,,,40,17,0,70.2
1,Charmander,Totodile,Porygon,,,,40,17,0,70.2
1,Rattata,Charmander,Torchic,,,,40,17,0,70.2
1,Totodile,Bulbasaur,Mudkip,,,,47,20,0,70.1
1,Charmander,Totodile,Rattata,,,,47,20,0,70.1
1,Charmander,Treecko,Mudkip,,,,47,20,0,70.1
1,Charmander,Treecko,Chikorita,,,,47,20,0,70.1
1,Squirtle,Charmander,Rattata,,,,47,20,0,70.1
1,Slakoth,Charmander,Bulbasaur,,,,42,18,0,70.0
1,Bulbasaur,Charmander,Torchic,,,,42,18,0,70.0
1,Charmander,Torchic,Totodile,,,,42,18,0,70.0
1,Totodile,Bulbasaur,Torchic,,,,42,18,0,70.0
1,Charmander,Squirtle,Bulbasaur,,,,42,18,0,70.0
1,Charmander,Torchic,Rattata,,,,35,15,0,70.0
1,Mudkip,Charmander,Totodile,,,,49,21,0,70.0
1,Cyndaquil,Charmander,Totodile,,,,35,15,0,70.0
1,Chikorita,Torchic,Slakoth,,,,44,19,0,69.8
1,Bulbasaur,Cyndaquil,Rattata,,,,44,19,0,69.8
1,Porygon,Charmander,Treecko,,,,44,19,0,69.8
1,Chikorita,Charmander,Mudkip,,,,44,19,0,69.8
1,Torchic,Rattata,Cyndaquil,,,,44,19,0,69.8
1,Rattata,Charmander,Mudkip,,,,44,19,0,69.8
1,Chikorita,Charmander,Totodile,,,,37,16,0,69.8
1,Charmander,Torchic,Squirtle,,,,37,16,0,69.8
1,Charmander,Bulbasaur,Porygon,,,,37,16,0,69.8
1,Slakoth,Bulbasaur,Totodile,,,,37,16,0,69.8
1,Squirtle,Charmander,Rattata,,,,46,20,0,69.7
1,Rattata,Charmander,Chikorita,,,,46,20,0,69.7
1,Porygon,Charmander,Slakoth,,,,46,20,0,69.7
1,Charmander,Chikorita,Mudkip,,,,39,17,0,69.6
1,Torchic,Totodile,Cyndaquil,,,,39,17,0,69.6
1,Charmander,Porygon,Slakoth,,,,39,17,0,69.6
1,Bulbasaur,Mudkip,Torchic,,,,39,17,0,69.6
1,Rattata,Charmander,Chikorita,,,,39,17,0,69.6
1,Totodile,Cyndaquil,Bulbasaur,,,,39,17,0,69.6
1,Totodile,Torchic,Squirtle,,,,48,21,0,69.6
1,Torchic,Charmander,Mudkip,,,,48,21,0,69.6
1,Mudkip,Bulbasaur,Totodile,,,,41,18,0,69.5
1,Rattata,Bulbasaur,Charmander,,,,41,18,0,69.5
1,Rattata,Charmander,Cyndaquil,,,,41,18,0,69.5
1,Slakoth,Charmander,Squirtle,,,,41,18,0,69.5
1,Totodile,Chikorita,Torchic,,,,41,18,0,69.5
1,Chikorita,Charmander,Bulbasaur,,,,41,18,0,69.5
1,Bulbasaur,Torchic,Mudkip,,,,50,22,0,69.4
1,Treecko,Cyndaquil,Slakoth,,,,34,15,0,69.4
1,Bulbasaur,Totodile,Slakoth,,,,43,19,0,69.4
1,Charmander,Bulbasaur,Squirtle,,,,43,19,0,69.4
1,Chikorita,Cyndaquil,Bulbasaur,,,,43,19,0,69.4
1,Charmander,Torchic,Rattata,,,,43,19,0,69.4
1,Bulbasaur,Charmander,Chikorita,,,,43,19,0,69.4
1,Totodile,Treecko,Charmander,,,,43,19,0,69.4
1,Rattata,Charmander,Cyndaquil,,,,52,23,0,69.3
1,Rattata,Cyndaquil,Slakoth,,,,36,16,0,69.2
1,Mudkip,Cyndaquil,Bulbasaur,,,,36,16,0,69.2
1,Charmander,Chikorita,Totodile,,,,45,20,0,69.2
1,Charmander,Squirtle,Bulbasaur,,,,45,20,0,69.2
1,Torchic,Treecko,Charmander,,,,45,20,0,69.2
1,Mudkip,Charmander,Cyndaquil,,,,36,16,0,69.2
1,Totodile,Charmander,Cyndaquil,,,,45,20,0,69.2
1,Bulbasaur,Rattata,Torchic,,,,45,20,0,69.2
1,Slakoth,Charmander,Bulbasaur,,,,36,16,0,69.2
1,Mudkip,Charmander,Totodile,,,,45,20,0,69.2
1,Mudkip,Charmander,Bulbasaur,,,,47,21,0,69.1
1,Torchic,Cyndaquil,Totodile,,,,38,17,0,69.1
1,Charmander,Torchic,Cyndaquil,,,,38,17,0,69.1
1,Treecko,Charmander,Bulbasaur,,,,38,17,0,69.1
