Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Tauros,Crobat,60.53,53.71,6.82,229
Tauros,Ampharos,63.83,57.0,6.82,235
Tauros,Flygon,64.24,57.43,6.81,210
Scizor,Magcargo,59.96,53.16,6.8,223
Scizor,Venusaur,65.91,59.11,6.8,212
Scizor,Girafarig,59.69,52.91,6.79,234
Arcanine,Electabuzz,63.15,56.37,6.78,231
Moltres,Venusaur,62.7,55.95,6.75,237
Suicune,Electabuzz,61.37,54.62,6.75,222
Pidgeot,Graveler,60.95,54.22,6.74,205
Pidgeot,Magcargo,60.95,54.23,6.73,218
Celebi,Vileplume,64.09,57.36,6.73,207
Arcanine,Sandslash,60.99,54.28,6.72,224
Arcanine,Flareon,60.95,54.24,6.71,224
Pidgeot,Typhlosion,63.97,57.27,6.7,249
Pidgeot,Slaking,60.24,53.55,6.69,190
Scizor,Growlithe,60.6,53.91,6.68,209
Raikou,Golem,59.94,53.27,6.68,212
Lugia,Magcargo,60.21,53.54,6.67,229
Scizor,Camerupt,59.56,52.9,6.66,202
Groudon,Girafarig,58.27,51.61,6.65,226
Suicune,Starmie,60.84,54.21,6.63,236
Groudon,Moltres,65.17,58.55,6.61,226
Tauros,Electrode,61.89,55.3,6.59,214
Lugia,Magneton,60.39,53.81,6.58,215
Lugia,Bellossom,63.53,56.95,6.57,211
Scizor,Fearow,66.47,59.89,6.57,223
Celebi,Sandslash,61.64,55.08,6.56,201
Lugia,Vaporeon,60.72,54.16,6.56,233
Pidgeot,Vaporeon,61.38,54.84,6.54,214
Scizor,Magmar,60.27,53.74,6.53,221
Lugia,Tyranitar,64.58,58.05,6.53,226
Donphan,Venusaur,62.17,55.64,6.53,229
Fearow,Venusaur,62.51,56.0,6.51,222
Lugia,Flareon,61.45,54.95,6.5,225
Arcanine,Starmie,62.44,55.95,6.49,208
Tauros,Magneton,59.58,53.09,6.49,236
Groudon,Magneton,58.62,52.14,6.48,232
Celebi,Noctowl,62.43,55.95,6.47,218
Moltres,Blissey,59.76,53.3,6.46,222
Venusaur,Manectric,59.63,53.17,6.46,228
Raikou,Tyranitar,63.18,56.72,6.46,233
Pidgeot,Snorlax,62.57,56.12,6.46,221
Moltres,Flaaffy,60.73,54.28,6.44,208
Celebi,Girafarig,59.82,53.38,6.44,225
Arcanine,Vibrava,59.54,53.09,6.44,211
Pidgeot,Sandslash,62.1,55.67,6.43,209
Lugia,Tentacruel,59.68,53.26,6.43,188
Arcanine,Steelix,59.38,52.96,6.42,211
Tauros,Feraligatr,62.11,55.7,6.41,252
Fearow,Manectric,60.37,53.95,6.41,207
Pidgeot,Slowbro,60.86,54.47,6.39,213
Tauros,Magmar,59.78,53.4,6.38,226
Pidgeot,Feraligatr,63.46,57.11,6.36,241
Suicune,Ampharos,61.6,55.27,6.33,207
Groudon,Donphan,64.57,58.25,6.32,232
Groudon,Pupitar,57.67,51.36,6.31,213
Tauros,Flareon,60.52,54.23,6.29,231
Celebi,Tropius,60.75,54.48,6.28,235
Celebi,Gyarados,65.41,59.13,6.28,218
Groudon,Slaking,57.47,51.2,6.27,213
Celebi,Steelix,60.02,53.76,6.26,212
Tauros,Camerupt,58.81,52.56,6.25,203
Pidgeot,Staryu,59.25,53.02,6.23,212
Raikou,Raichu,62.03,55.81,6.22,199
Celebi,Crobat,60.73,54.52,6.21,215
Donphan,Typhlosion,58.92,52.73,6.19,228
Donphan,Bellossom,59.29,53.11,6.19,230
Pidgeot,Tropius,61.23,55.07,6.16,219
Arcanine,Marowak,59.68,53.53,6.15,228
Charizard,Blastoise,60.79,54.64,6.15,182
Celebi,Azumarill,60.22,54.09,6.14,217
Celebi,Slaking,59.09,52.96,6.13,201
Pidgeot,Magneton,60.63,54.5,6.13,198
Arcanine,Persian,60.28,54.16,6.12,229
Vileplume,Ninetales,52.92,46.8,6.12,234
Celebi,Vaporeon,60.37,54.25,6.12,236
Donphan,Feraligatr,58.65,52.57,6.08,243
Groudon,Growlithe,58.71,52.62,6.08,237
Tauros,Electabuzz,62.42,56.36,6.07,236
Raikou,Starmie,61.41,55.34,6.07,221
Arcanine,Snorlax,60.78,54.72,6.06,239
Tauros,Golem,59.92,53.87,6.05,190
Groudon,Pidgeotto,57.34,51.28,6.05,237
Lugia,Growlithe,60.35,54.3,6.05,231
Celebi,Electrike,58.64,52.61,6.04,214
Lugia,Cradily,60.61,54.59,6.02,223
Fearow,Blastoise,61.39,55.39,6.01,238
Groudon,Electabuzz,61.42,55.41,6.01,245
Tauros,Miltank,58.23,52.24,5.99,204
Suicune,Vileplume,60.81,54.81,5.99,226
Moltres,Rapidash,60.25,54.27,5.98,215
Fearow,Electabuzz,59.55,53.58,5.97,227
Suicune,Jolteon,60.42,54.48,5.95,212
Moltres,Ampharos,60.12,54.18,5.94,198
Groudon,Miltank,57.2,51.29,5.91,196
Lugia,Ninetales,59.2,53.3,5.9,208
Blastoise,Sceptile,59.56,53.66,5.9,220
Celebi,Growlithe,60.28,54.39,5.89,216
Fearow,Ampharos,60.12,54.23,5.89,230
Arcanine,Manectric,62.61,56.74,5.87,220
Arcanine,Raichu,62.29,56.43,5.86,228
Lugia,Typhlosion,62.43,56.58,5.85,220
Raikou,Feraligatr,60.94,55.09,5.84,243
Tauros,Snorlax,60.55,54.71,5.84,229
Scizor,Vibrava,59.27,53.42,5.84,221
Arcanine,Tyranitar,63.16,57.34,5.82,223
Tauros,Blissey,61.95,56.12,5.82,226
Donphan,Manectric,59.41,53.6,5.81,223
Groudon,Starmie,60.79,55.0,5.8,221
Tauros,Pidgeotto,58.02,52.23,5.79,228
Tauros,Azumarill,59.06,53.27,5.79,202
Groudon,Jolteon,61.01,55.26,5.75,229
Groudon,Flaaffy,61.91,56.16,5.75,216
Arcanine,Tentacruel,58.27,52.55,5.73,226
Pidgeot,Camerupt,59.68,53.97,5.72,212
Groudon,Raichu,61.19,55.47,5.72,236
Donphan,Gyarados,60.89,55.19,5.7,228
Venusaur,Starmie,58.09,52.39,5.7,229
Xatu,Electabuzz,57.65,51.96,5.69,232
Pidgeot,Cacturne,59.63,53.95,5.69,189
Raikou,Jolteon,61.29,55.61,5.69,191
Scizor,Marowak,59.55,53.86,5.69,230
Celebi,Exeggutor,59.14,53.46,5.68,234
Gyarados,Sceptile,59.48,53.81,5.67,234
Tauros,Manectric,62.4,56.73,5.67,214
Donphan,Xatu,60.46,54.8,5.66,221
Moltres,Vileplume,59.38,53.73,5.66,225
Tauros,Rapidash,62.75,57.09,5.66,225
Raikou,Bellossom,61.28,55.63,5.65,201
Charizard,Sceptile,59.95,54.3,5.65,247
Lugia,Scyther,62.81,57.17,5.65,240
Tauros,Cacturne,58.19,52.54,5.65,193
Donphan,Electabuzz,58.87,53.23,5.64,233
Scizor,Tropius,59.63,54.0,5.63,230
Raikou,Electrode,60.32,54.7,5.62,210
Pidgeot,Miltank,59.27,53.64,5.62,224
Raikou,Cradily,58.88,53.26,5.62,225
Groudon,Charizard,63.48,57.86,5.62,232
Scizor,Tentacruel,58.49,52.88,5.61,218
Charizard,Starmie,58.02,52.42,5.6,211
Lugia,Exeggutor,58.97,53.37,5.6,213
Pidgeot,Electrike,58.79,53.2,5.59,197
Moltres,Skarmory,58.3,52.74,5.56,213
Scizor,Tyranitar,63.2,57.67,5.53,233
Groudon,Electrike,56.37,50.84,5.53,227
Celebi,Bellossom,62.56,57.05,5.52,199
Tyranitar,Sandslash,54.79,49.27,5.52,206
Moltres,Sceptile,60.52,55.0,5.52,232
Suicune,Manectric,60.52,55.0,5.52,227
Arcanine,Magmar,58.91,53.41,5.5,244
Arcanine,Noctowl,60.65,55.16,5.5,232
Suicune,Scyther,60.18,54.71,5.47,239
Arcanine,Magcargo,58.29,52.83,5.46,246
Pidgeot,Skarmory,62.42,56.97,5.45,197
Scizor,Cacturne,58.33,52.88,5.45,210
Charizard,Flygon,59.34,53.91,5.44,228
Fearow,Exploud,57.93,52.49,5.44,231
Fearow,Gyarados,60.98,55.55,5.44,252
Tyranitar,Flaaffy,57.54,52.11,5.43,246
Arcanine,Tropius,59.11,53.67,5.43,231
Arcanine,Cradily,59.29,53.88,5.42,226
Xatu,Manectric,57.75,52.34,5.42,229
Groudon,Feraligatr,60.17,54.75,5.42,233
Celebi,Cradily,60.08,54.67,5.41,231
Pidgeot,Pupitar,59.12,53.72,5.41,211
Scizor,Vaporeon,59.19,53.78,5.41,217
Celebi,Golduck,58.26,52.86,5.4,196
Scizor,Golduck,57.79,52.39,5.4,243
Pidgeot,Lileep,58.38,53.0,5.38,182
Tauros,Persian,59.53,54.15,5.38,230
Fearow,Rapidash,59.69,54.31,5.38,212
Arcanine,Azumarill,58.65,53.28,5.37,249
Venusaur,Raichu,58.23,52.86,5.37,228
Fearow,Vileplume,59.14,53.78,5.36,229
Raikou,Marowak,58.28,52.91,5.36,224
Tauros,Staryu,56.97,51.61,5.35,222
Groudon,Bellossom,60.63,55.28,5.35,216
Raikou,Exploud,60.0,54.66,5.34,225
Raikou,Ampharos,61.74,56.4,5.34,216
Xatu,Blissey,57.07,51.73,5.34,209
Lugia,Slaking,58.2,52.87,5.33,206
Pidgeot,Azumarill,60.0,54.68,5.32,216
Celebi,Pelipper,58.62,53.34,5.28,223
Fearow,Jolteon,58.71,53.44,5.27,231
Arcanine,Typhlosion,61.14,55.87,5.27,225
Scizor,Magneton,58.69,53.44,5.25,223
Moltres,Starmie,58.37,53.12,5.25,232
Scizor,Crobat,59.3,54.05,5.25,209
Celebi,Magneton,59.15,53.91,5.24,207
Celebi,Marowak,59.57,54.33,5.24,222
Raikou,Flareon,58.86,53.62,5.24,231
Raikou,Flaaffy,61.74,56.5,5.23,197
Groudon,Staryu,55.88,50.66,5.22,207
Groudon,Vileplume,60.82,55.6,5.22,241
Gyarados,Exploud,56.48,51.26,5.22,224
Pidgeot,Ninetales,59.19,53.98,5.21,199
Donphan,Scyther,58.53,53.31,5.21,221
Groudon,Magcargo,57.06,51.87,5.19,232
Groudon,Tentacruel,56.75,51.59,5.17,228
Celebi,Camerupt,58.54,53.37,5.17,233
Arcanine,Vaporeon,58.62,53.45,5.17,234
Lugia,Tropius,59.55,54.39,5.16,225
Charizard,Skarmory,57.2,52.04,5.16,219
Flygon,Rapidash,57.35,52.19,5.16,207
Raikou,Sandslash,58.79,53.66,5.13,207
Raikou,Vibrava,57.61,52.48,5.13,206
Groudon,Snorlax,58.89,53.76,5.13,243
Groudon,Sceptile,61.98,56.88,5.1,236
Charizard,Ampharos,58.57,53.48,5.09,201
Pidgeot,Golduck,58.54,53.45,5.09,219
Pidgeot,Cradily,60.36,55.27,5.09,191
Donphan,Rapidash,59.04,53.96,5.08,236
Scizor,Slaking,57.57,52.49,5.08,197
Scizor,Gloom,56.48,51.43,5.05,206
Donphan,Starmie,57.85,52.81,5.04,231
Suicune,Skarmory,58.87,53.83,5.04,220
Venusaur,Electabuzz,57.84,52.8,5.04,244
Celebi,Pupitar,58.14,53.12,5.02,244
Lugia,Slowbro,58.79,53.78,5.01,233
Groudon,Exploud,59.32,54.31,5.01,217
Groudon,Typhlosion,59.92,54.91,5.01,218
Lugia,Vibrava,58.82,53.81,5.01,202
Tauros,Tentacruel,57.54,52.53,5.0,242
Lugia,Electrike,57.52,52.52,5.0,231
Blastoise,Jolteon,57.03,52.04,4.99,234
Scizor,Lileep,56.92,51.94,4.99,216
Lugia,Lileep,57.29,52.31,4.98,237
Groudon,Pelipper,56.56,51.58,4.98,216
Tauros,Vibrava,58.07,53.09,4.98,230
Pidgeot,Magmar,59.78,54.8,4.97,231
Raikou,Miltank,56.6,51.63,4.96,209
Lugia,Cacturne,58.2,53.26,4.94,208
Tauros,Steelix,57.88,52.95,4.93,206
Scizor,Electrike,57.07,52.13,4.93,234
Suicune,Snorlax,57.91,52.98,4.93,255
Celebi,Miltank,57.98,53.05,4.93,203
Arcanine,Pidgeotto,57.16,52.25,4.91,228
Pidgeot,Scyther,62.76,57.85,4.91,223
Charizard,Venusaur,60.14,55.25,4.89,231
Raikou,Tropius,57.95,53.06,4.89,226
Charizard,Feraligatr,57.05,52.17,4.88,260
Arcanine,Exeggutor,57.53,52.66,4.87,233
Gyarados,Marowak,54.38,49.51,4.87,205
Moltres,Electrode,57.34,52.48,4.86,244
Donphan,Flaaffy,58.84,53.98,4.86,205
Celebi,Ninetales,58.24,53.39,4.85,218
Sceptile,Rapidash,57.43,52.59,4.85,223
Raichu,Blissey,55.06,50.22,4.85,226
Scizor,Miltank,57.42,52.58,4.84,232
Suicune,Feraligatr,58.81,53.97,4.84,216
Fearow,Flaaffy,59.16,54.34,4.83,225
Arcanine,Slowbro,57.88,53.08,4.81,230
Raikou,Exeggutor,56.84,52.05,4.79,194
Moltres,Flygon,59.39,54.61,4.79,223
Blastoise,Raichu,57.03,52.25,4.78,206
Fearow,Dugtrio,56.06,51.28,4.78,212
Tyranitar,Raichu,56.19,51.42,4.77,231
Tyranitar,Manectric,56.49,51.73,4.76,213
Groudon,Flareon,58.04,53.28,4.76,233
Celebi,Graveler,58.38,53.62,4.76,227
Tyranitar,Skarmory,55.32,50.56,4.75,215
Fearow,Skarmory,57.54,52.79,4.75,210
Suicune,Exploud,58.28,53.53,4.75,245
Venusaur,Rapidash,58.29,53.53,4.75,216
Venusaur,Jolteon,57.4,52.66,4.74,214
Fearow,Feraligatr,57.66,52.92,4.74,222
