Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Xatu,Grovyle,63.94,55.64,8.3,74
Flareon,Ivysaur,65.14,56.84,8.29,73
Jolteon,Ponyta,64.77,56.48,8.29,74
Exploud,Ivysaur,62.22,53.94,8.29,69
Tentacruel,Porygon2,64.34,56.06,8.28,60
Miltank,Natu,60.88,52.62,8.26,65
Slowbro,Meganium,65.42,57.19,8.24,69
Vaporeon,Smeargle,61.41,53.16,8.24,72
Jolteon,Electrode,67.68,59.45,8.23,80
Exeggutor,Electrike,64.02,55.81,8.21,73
Flareon,Natu,64.25,56.04,8.21,73
Flaaffy,Tentacruel,65.44,57.23,8.21,76
Vibrava,Miltank,66.67,58.48,8.2,65
Crobat,Magnemite,62.19,54.0,8.19,68
Crobat,Whismur,61.27,53.08,8.19,67
Vaporeon,Tentacruel,67.12,58.93,8.19,84
Flareon,Camerupt,65.99,57.8,8.18,71
Xatu,Pupitar,63.63,55.45,8.18,81
Magmar,Staryu,64.66,56.48,8.18,82
Flareon,Lileep,67.38,59.2,8.18,76
Flareon,Mantine,65.75,57.58,8.17,71
Electabuzz,Sunflora,63.33,55.16,8.17,77
Crobat,Spearow,62.68,54.53,8.15,62
Electabuzz,Psyduck,60.91,52.76,8.15,84
Donphan,Voltorb,61.46,53.31,8.15,84
Slowbro,Porygon2,65.88,57.73,8.14,68
Porygon2,Pidgeotto,61.76,53.64,8.12,71
Donphan,Pupitar,64.05,55.92,8.12,65
Dugtrio,Golduck,64.54,56.41,8.12,69
Porygon2,Staryu,62.15,54.03,8.11,87
Vaporeon,Miltank,67.15,59.03,8.11,72
Vaporeon,Dugtrio,67.16,59.06,8.1,80
Electabuzz,Chansey,62.03,53.95,8.08,66
Vaporeon,Grovyle,62.95,54.89,8.06,78
Jolteon,Graveler,64.41,56.36,8.05,72
Slowbro,Electrike,65.45,57.4,8.05,86
Electabuzz,Staryu,66.66,58.61,8.05,70
Ninetales,Electrike,63.92,55.88,8.04,75
Jolteon,Phanpy,62.74,54.7,8.04,73
Cacturne,Ninetales,65.38,57.34,8.04,68
Jolteon,Camerupt,65.02,56.99,8.03,78
Slowbro,Growlithe,63.48,55.48,8.0,67
Exeggutor,Vulpix,55.87,47.88,8.0,71
Vibrava,Raticate,60.32,52.34,7.98,67
Jolteon,Wingull,59.09,51.12,7.97,63
Magmar,Dugtrio,66.61,58.64,7.97,81
Donphan,Charmeleon,64.76,56.79,7.97,59
Xatu,Swampert,64.13,56.19,7.94,65
Miltank,Ponyta,61.81,53.88,7.94,57
Flareon,Graveler,65.12,57.17,7.94,79
Vaporeon,Graveler,63.54,55.61,7.93,71
Persian,Pidgeotto,63.35,55.44,7.92,65
Flaaffy,Gloom,62.52,54.6,7.92,82
Electabuzz,Wingull,59.99,52.08,7.91,68
Jolteon,Magnemite,62.84,54.95,7.9,83
Magmar,Golbat,63.51,55.61,7.89,71
Donphan,Wartortle,62.63,54.74,7.89,79
Electrode,Meganium,63.13,55.27,7.86,65
Flareon,Plusle,64.47,56.61,7.86,84
Exeggutor,Electrode,64.68,56.82,7.86,66
Jolteon,Growlithe,64.38,56.52,7.86,76
Persian,Mantine,62.79,54.94,7.86,74
Donphan,Exeggutor,68.08,60.24,7.84,76
Persian,Girafarig,63.12,55.3,7.83,72
Ninetales,Porygon2,64.05,56.22,7.83,71
Flareon,Eevee,59.94,52.12,7.82,72
Miltank,Electrike,63.63,55.83,7.8,87
Exploud,Golduck,64.7,56.9,7.8,66
Flareon,Spearow,64.08,56.3,7.78,61
Vaporeon,Camerupt,64.02,56.24,7.78,72
Electabuzz,Electrode,68.16,60.4,7.76,76
Vaporeon,Plusle,62.79,55.05,7.75,73
Crobat,Loudred,63.69,55.94,7.75,72
Crobat,Meganium,65.02,57.27,7.75,64
Jolteon,Exeggcute,60.97,53.25,7.72,86
Persian,Ninetales,65.74,58.02,7.72,79
Slowbro,Charmeleon,62.99,55.28,7.71,88
Slowbro,Pidgeotto,63.94,56.23,7.71,64
Slowbro,Blaziken,63.21,55.52,7.69,66
Flareon,Cacnea,60.17,52.49,7.68,70
Flaaffy,Pelipper,62.61,54.93,7.68,63
Vaporeon,Gloom,63.97,56.3,7.67,71
Vibrava,Cacturne,66.24,58.58,7.66,57
Electabuzz,Meowth,59.59,51.93,7.66,75
Magmar,Plusle,62.27,54.62,7.65,87
Electabuzz,Pikachu,61.26,53.62,7.64,80
Persian,Spearow,61.27,53.66,7.61,67
Exploud,Trapinch,58.92,51.32,7.6,70
Magmar,Phanpy,61.11,53.52,7.59,88
Flareon,Cubone,62.31,54.72,7.59,74
Donphan,Growlithe,64.57,57.0,7.58,66
Flareon,Minun,63.59,56.03,7.56,75
Persian,Miltank,65.51,57.96,7.55,84
Tentacruel,Lileep,63.22,55.68,7.54,72
Magmar,Ivysaur,62.39,54.86,7.53,75
Jolteon,Grovyle,63.16,55.64,7.52,86
Flareon,Mareep,60.09,52.57,7.52,79
Exploud,Onix,58.4,50.88,7.52,67
Xatu,Plusle,63.29,55.79,7.5,69
Exploud,Pupitar,60.85,53.36,7.5,81
Exploud,Golbat,62.18,54.69,7.49,76
Flareon,Magnemite,63.25,55.76,7.49,57
Donphan,Plusle,63.75,56.27,7.48,71
Ninetales,Wartortle,59.19,51.72,7.48,86
Ninetales,Sunflora,59.13,51.66,7.47,88
Exploud,Lileep,63.76,56.3,7.46,74
Vaporeon,Raticate,60.35,52.9,7.45,82
Slowbro,Grovyle,62.04,54.61,7.44,80
Vaporeon,Slowbro,68.05,60.61,7.44,76
Persian,Staryu,63.26,55.83,7.43,80
Flareon,Grovyle,63.89,56.45,7.43,77
Flareon,Raticate,61.89,54.46,7.42,78
Cacturne,Ponyta,61.37,53.98,7.39,71
Xatu,Golbat,64.16,56.78,7.38,75
Flaaffy,Charmeleon,61.24,53.87,7.38,71
Vaporeon,Minun,61.85,54.47,7.38,77
Crobat,Electrike,64.86,57.48,7.38,80
Jolteon,Bayleef,59.58,52.2,7.38,77
Tentacruel,Meganium,62.87,55.51,7.36,66
Electabuzz,Golduck,67.3,59.95,7.35,85
Vaporeon,Golbat,63.39,56.03,7.35,89
Xatu,Sandshrew,61.1,53.76,7.34,84
Donphan,Graveler,64.17,56.84,7.33,72
Persian,Pidgey,57.94,50.62,7.33,82
Donphan,Meganium,66.02,58.7,7.32,68
Golduck,Electrike,62.35,55.04,7.31,72
Meganium,Camerupt,60.12,52.82,7.3,95
Magmar,Growlithe,62.64,55.35,7.29,77
Donphan,Numel,59.81,52.52,7.29,77
Dugtrio,Spearow,60.18,52.91,7.28,76
Electabuzz,Loudred,65.08,57.84,7.24,76
Electabuzz,Graveler,64.55,57.31,7.24,77
Exeggutor,Natu,59.84,52.6,7.24,73
Xatu,Ivysaur,63.26,56.03,7.23,71
Golduck,Staryu,61.48,54.26,7.22,75
Vaporeon,Spearow,61.94,54.73,7.21,82
Jolteon,Charmeleon,63.52,56.31,7.21,82
Xatu,Phanpy,61.89,54.69,7.2,75
Donphan,Elekid,59.85,52.67,7.18,83
Vibrava,Girafarig,62.99,55.81,7.18,67
Flareon,Slugma,61.74,54.56,7.18,72
Slowbro,Lileep,64.53,57.36,7.17,72
Electabuzz,Camerupt,65.12,57.95,7.17,68
Golduck,Blaziken,60.31,53.16,7.15,60
Electabuzz,Onix,61.08,53.92,7.15,72
Jolteon,Exploud,67.43,60.3,7.14,63
Cacturne,Camerupt,61.63,54.48,7.14,79
Ninetales,Phanpy,59.28,52.14,7.14,84
Donphan,Ponyta,64.07,56.95,7.12,72
Exeggutor,Whismur,58.53,51.41,7.12,69
Exploud,Pidgeotto,62.27,55.17,7.11,77
Crobat,Ivysaur,62.19,55.08,7.11,61
Donphan,Spearow,63.07,55.96,7.11,75
Donphan,Loudred,64.47,57.36,7.11,79
Ninetales,Pidgeotto,61.81,54.71,7.1,71
Xatu,Pikachu,59.76,52.66,7.1,70
Slowbro,Ivysaur,62.08,55.0,7.09,76
Flareon,Trapinch,61.32,54.23,7.09,80
Electrode,Charmeleon,60.46,53.37,7.09,72
Slowbro,Ninetales,65.89,58.8,7.08,82
Magmar,Pidgeotto,63.17,56.09,7.08,94
Crobat,Elekid,58.32,51.24,7.08,77
Electabuzz,Pidgey,60.47,53.39,7.07,79
Crobat,Growlithe,62.64,55.57,7.07,76
Vaporeon,Electrike,64.75,57.69,7.07,86
Magmar,Charmeleon,62.22,55.14,7.07,78
Donphan,Larvitar,59.86,52.8,7.06,78
Jolteon,Quilava,61.53,54.48,7.05,80
Slowbro,Graveler,62.37,55.33,7.04,87
Flaaffy,Electrode,64.03,57.0,7.04,74
Slowbro,Loudred,62.89,55.85,7.04,81
Electrode,Ponyta,60.57,53.53,7.03,66
Slowbro,Girafarig,63.12,56.09,7.03,71
Exploud,Porygon2,63.7,56.67,7.03,68
Persian,Gloom,62.25,55.23,7.03,77
Dugtrio,Whismur,58.47,51.45,7.02,71
Electabuzz,Marshtomp,59.24,52.22,7.02,68
Slowbro,Natu,61.21,54.19,7.02,70
Flareon,Exeggcute,61.07,54.07,7.0,67
Exploud,Electrode,64.35,57.35,7.0,79
Crobat,Geodude,59.02,52.02,7.0,77
Crobat,Camerupt,63.03,56.04,6.99,75
Porygon2,Electrike,61.8,54.81,6.99,76
Slowbro,Pupitar,61.4,54.41,6.98,95
Jolteon,Plusle,62.77,55.8,6.98,70
Cacturne,Staryu,62.13,55.15,6.98,69
Golduck,Ponyta,60.05,53.09,6.96,65
Flareon,Phanpy,62.47,55.51,6.96,74
Vibrava,Exeggutor,65.42,58.45,6.96,65
Xatu,Wartortle,61.2,54.26,6.94,83
Cacturne,Meganium,62.65,55.72,6.94,62
Slowbro,Wartortle,60.17,53.23,6.94,66
Xatu,Minun,62.15,55.22,6.93,74
Electabuzz,Eevee,59.19,52.26,6.93,79
Slowbro,Spearow,61.37,54.45,6.92,74
Vaporeon,Ninetales,66.01,59.09,6.92,84
Crobat,Girafarig,63.09,56.17,6.92,62
Tentacruel,Electrode,63.64,56.73,6.91,64
Tentacruel,Charmeleon,60.51,53.61,6.91,75
Jolteon,Hoothoot,59.2,52.29,6.91,69
Vibrava,Mantine,62.36,55.45,6.91,57
Exploud,Charmeleon,61.11,54.22,6.89,73
Vibrava,Hoothoot,57.86,50.98,6.88,62
Exeggutor,Girafarig,61.36,54.5,6.87,64
Crobat,Grovyle,61.55,54.69,6.86,64
Flaaffy,Golduck,63.4,56.55,6.86,68
Slowbro,Golbat,62.61,55.75,6.86,67
Electrode,Golduck,62.9,56.05,6.85,73
Flaaffy,Loudred,61.29,54.44,6.85,69
Flareon,Numel,59.71,52.85,6.85,76
Dugtrio,Electrike,62.7,55.85,6.84,76
Donphan,Magnemite,62.25,55.42,6.83,76
Girafarig,Loudred,58.45,51.62,6.83,72
Flaaffy,Pidgeotto,61.64,54.81,6.83,64
Exploud,Growlithe,61.26,54.42,6.83,74
Crobat,Cacturne,65.72,58.94,6.79,71
Flaaffy,Golbat,61.12,54.34,6.78,79
Jolteon,Sunflora,60.97,54.21,6.76,70
Vibrava,Smeargle,59.37,52.61,6.76,67
Miltank,Exeggutor,63.91,57.16,6.75,65
Slowbro,Flaaffy,65.65,58.91,6.75,74
Donphan,Dugtrio,67.03,60.28,6.74,64
Donphan,Smeargle,61.12,54.39,6.73,77
Flareon,Ponyta,64.03,57.3,6.73,81
Cacturne,Girafarig,61.33,54.62,6.72,64
Flaaffy,Spearow,59.75,53.03,6.72,76
Jolteon,Wartortle,60.97,54.27,6.71,85
Exploud,Meganium,62.84,56.12,6.71,80
Exeggutor,Pidgeotto,61.32,54.64,6.69,73
Exeggutor,Meganium,62.27,55.59,6.67,70
Dugtrio,Lileep,62.48,55.81,6.67,75
Flaaffy,Camerupt,61.2,54.54,6.66,77
Girafarig,Graveler,57.74,51.09,6.65,61
Xatu,Whismur,60.68,54.03,6.65,79
Vaporeon,Staryu,63.54,56.91,6.64,63
Jolteon,Croconaw,60.77,54.13,6.64,61
Cacturne,Charmeleon,60.45,53.81,6.64,68
Magmar,Graveler,61.83,55.19,6.64,72
Crobat,Onix,58.65,52.02,6.63,68
Porygon2,Graveler,59.36,52.74,6.62,77
Electrode,Pelipper,61.05,54.44,6.62,71
Jolteon,Smeargle,60.52,53.91,6.61,55
