Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Porygon2,Plusle,75.7,61.9,13.8,35
Blaziken,Minun,77.45,63.8,13.65,48
Croconaw,Raticate,67.23,53.6,13.63,42
Swampert,Sunflora,72.56,58.94,13.62,38
Golbat,Phanpy,69.5,55.98,13.52,31
Mantine,Natu,72.14,58.63,13.51,36
Plusle,Spearow,73.11,59.59,13.51,43
Meganium,Elekid,70.44,56.95,13.48,38
Charmeleon,Wartortle,76.06,62.61,13.44,36
Meganium,Quilava,77.08,63.83,13.25,37
Blaziken,Raticate,71.38,58.16,13.23,46
Charmeleon,Porygon2,77.62,64.4,13.22,48
Golbat,Magnemite,71.56,58.43,13.13,37
Meganium,Voltorb,70.68,57.58,13.1,44
Ponyta,Spearow,74.34,61.25,13.09,37
Ivysaur,Raticate,70.48,57.39,13.09,47
Blaziken,Mantine,78.14,65.06,13.08,39
Spearow,Croconaw,71.23,58.16,13.07,37
Meganium,Magnemite,72.32,59.27,13.05,33
Ponyta,Porygon2,76.6,63.55,13.05,43
Meganium,Vigoroth,72.83,59.81,13.03,52
Natu,Raticate,64.75,51.73,13.03,37
Blaziken,Golbat,79.06,66.05,13.01,41
Swampert,Numel,67.04,54.05,13.0,37
Meganium,Slowpoke,68.5,55.51,12.99,38
Golbat,Swampert,78.04,65.04,12.99,50
Ponyta,Quilava,75.2,62.26,12.94,32
Meganium,Loudred,74.9,61.99,12.91,42
Blaziken,Marill,71.13,58.23,12.9,43
Ponyta,Marill,69.67,56.77,12.9,35
Charmeleon,Raticate,70.42,57.54,12.88,36
Swampert,Magnemite,70.93,58.16,12.77,37
Plusle,Wartortle,72.8,60.11,12.68,45
Ponyta,Raticate,69.32,56.69,12.64,40
Blaziken,Magnemite,71.8,59.16,12.63,46
Porygon2,Quilava,74.56,61.96,12.6,47
Porygon2,Magnemite,70.0,57.4,12.6,45
Porygon2,Croconaw,73.02,60.46,12.56,33
Meganium,Marshtomp,68.63,56.1,12.53,41
Golbat,Smeargle,68.96,56.43,12.52,41
Meganium,Mareep,67.64,55.15,12.49,35
Golbat,Sandshrew,68.73,56.24,12.49,46
Ivysaur,Minun,75.52,63.03,12.48,42
Golbat,Chansey,68.41,55.94,12.47,33
Mantine,Loudred,72.63,60.17,12.46,38
Loudred,Larvitar,62.17,49.73,12.45,39
Porygon2,Minun,74.39,62.03,12.35,50
Charmeleon,Plusle,75.38,63.05,12.33,35
Meganium,Combusken,71.5,59.17,12.33,35
Minun,Natu,69.6,57.37,12.23,38
Porygon2,Wingull,65.27,53.05,12.21,46
Plusle,Natu,69.38,57.23,12.14,40
Wartortle,Bayleef,65.26,53.11,12.14,34
Ivysaur,Swampert,77.14,65.01,12.13,39
Porygon2,Sunflora,70.27,58.18,12.09,44
Charmeleon,Ivysaur,77.47,65.4,12.07,41
Blaziken,Plusle,75.7,63.66,12.04,41
Mantine,Phanpy,67.02,54.99,12.03,26
Charmeleon,Croconaw,73.64,61.61,12.03,42
Mantine,Wartortle,73.53,61.51,12.02,53
Ponyta,Grovyle,73.94,61.93,12.01,42
Swampert,Whismur,67.76,55.82,11.94,39
Quilava,Croconaw,71.1,59.17,11.93,40
Ponyta,Plusle,74.12,62.2,11.92,38
Mantine,Chikorita,63.77,51.91,11.86,40
Porygon2,Wartortle,73.32,61.47,11.85,41
Charmeleon,Spearow,73.94,62.09,11.84,56
Ivysaur,Eevee,66.27,54.47,11.81,43
Mantine,Minun,73.87,62.08,11.79,32
Meganium,Swampert,77.64,65.88,11.77,35
Golbat,Geodude,66.78,55.05,11.73,36
Ivysaur,Grovyle,74.34,62.63,11.71,34
Blaziken,Bayleef,68.35,56.66,11.68,43
Mantine,Sunflora,69.9,58.23,11.67,37
Ivysaur,Croconaw,73.12,61.46,11.66,36
Meganium,Slugma,71.75,60.14,11.61,35
Golbat,Loudred,72.76,61.16,11.6,39
Blaziken,Spearow,74.26,62.71,11.55,43
Charmeleon,Mantine,75.97,64.44,11.53,46
Ivysaur,Tentacool,64.71,53.19,11.52,33
Mantine,Cubone,69.44,57.95,11.49,34
Swampert,Plusle,74.15,62.66,11.49,35
Blaziken,Grovyle,74.86,63.39,11.47,58
Blaziken,Natu,71.79,60.35,11.44,50
Golbat,Onix,67.18,55.76,11.42,38
Blaziken,Magby,67.63,56.22,11.41,50
Sunflora,Vulpix,59.52,48.12,11.4,31
Ponyta,Chikorita,63.56,52.16,11.4,37
Porygon2,Natu,69.93,58.59,11.35,44
Minun,Raticate,66.5,55.17,11.33,42
Minun,Wartortle,71.53,60.25,11.28,44
Mantine,Porygon2,74.56,63.3,11.27,61
Blaziken,Geodude,66.97,55.78,11.19,44
Golbat,Ponyta,75.77,64.58,11.19,55
Ivysaur,Elekid,67.26,56.09,11.17,22
Swampert,Elekid,67.0,55.85,11.15,41
Ivysaur,Spearow,73.07,61.95,11.13,35
Meganium,Charmeleon,77.38,66.27,11.11,47
Blaziken,Sunflora,71.05,59.95,11.11,46
Swampert,Smeargle,67.25,56.16,11.09,42
Minun,Spearow,70.78,59.73,11.05,37
Blaziken,Phanpy,67.75,56.71,11.04,49
Ivysaur,Porygon2,75.28,64.25,11.03,37
Swampert,Slugma,70.05,59.03,11.02,37
Meganium,Raticate,69.23,58.26,10.97,50
Golbat,Combusken,69.3,58.34,10.96,54
Meganium,Porygon2,76.07,65.12,10.96,41
Swampert,Mantine,75.0,64.06,10.95,40
Meganium,Smeargle,68.21,57.27,10.94,41
Ivysaur,Marshtomp,66.15,55.23,10.91,36
Wartortle,Loudred,69.23,58.34,10.89,43
Porygon2,Slugma,69.14,58.27,10.87,40
Blaziken,Quilava,74.55,63.73,10.83,44
Loudred,Vigoroth,65.62,54.81,10.8,36
Ivysaur,Magnemite,69.19,58.4,10.79,30
Mantine,Magnemite,68.22,57.45,10.78,39
Grovyle,Wartortle,70.6,59.84,10.76,35
Minun,Sunflora,67.68,56.97,10.72,51
Charmeleon,Quilava,73.81,63.11,10.7,45
Charmeleon,Meowth,65.42,54.74,10.68,34
Minun,Loudred,69.58,58.91,10.67,34
Swampert,Spearow,72.37,61.7,10.66,41
Swampert,Natu,69.94,59.34,10.59,39
Blaziken,Croconaw,72.8,62.23,10.58,45
Charmeleon,Natu,70.31,59.73,10.57,35
Charmeleon,Ponyta,75.27,64.7,10.57,49
Quilava,Natu,67.87,57.3,10.57,37
Blaziken,Trapinch,68.38,57.82,10.56,42
Charmeleon,Chansey,66.62,56.05,10.56,39
Ponyta,Minun,72.88,62.34,10.54,52
Ponyta,Whismur,65.89,55.36,10.53,39
Ivysaur,Natu,70.11,59.59,10.52,36
Ivysaur,Mareep,64.8,54.28,10.52,42
Swampert,Porygon2,74.53,64.01,10.52,38
Meganium,Torchic,64.67,54.22,10.45,37
Golbat,Elekid,66.56,56.12,10.44,37
Minun,Marill,65.69,55.25,10.44,60
Swampert,Bayleef,66.07,55.66,10.41,44
Golbat,Natu,70.02,59.62,10.4,41
Golbat,Sunflora,69.58,59.21,10.36,37
Meganium,Marill,68.69,58.34,10.36,45
Ivysaur,Smeargle,66.74,56.4,10.34,48
Blaziken,Charmeleon,76.49,66.16,10.33,46
Porygon2,Spearow,71.26,60.95,10.32,45
Meganium,Sunflora,70.3,60.05,10.26,38
Blaziken,Voltorb,67.72,57.48,10.24,46
Plusle,Psyduck,63.19,52.95,10.24,35
Plusle,Grovyle,70.5,60.28,10.22,43
Swampert,Quilava,72.92,62.72,10.2,40
Loudred,Bulbasaur,58.58,48.41,10.17,36
Porygon2,Chansey,65.06,54.91,10.15,49
Meganium,Diglett,65.59,55.44,10.15,39
Ponyta,Magnemite,67.84,57.7,10.14,46
Minun,Croconaw,69.38,59.25,10.13,56
Mantine,Croconaw,70.64,60.51,10.13,37
Spearow,Sunflora,65.99,55.88,10.12,42
Croconaw,Slugma,65.59,55.48,10.11,40
Golbat,Marill,67.59,57.5,10.09,52
Meganium,Eevee,65.42,55.33,10.09,37
Golbat,Vigoroth,69.07,58.97,10.09,43
Golbat,Bayleef,66.03,55.93,10.09,28
Meganium,Grovyle,73.58,63.5,10.08,33
Porygon2,Hoothoot,67.27,57.23,10.05,37
Porygon2,Loudred,70.17,60.12,10.04,37
Natu,Magnemite,62.77,52.73,10.03,50
Ivysaur,Vigoroth,68.97,58.94,10.03,32
Charmeleon,Grovyle,72.78,62.78,10.0,38
Charmeleon,Pikachu,65.06,55.08,9.98,37
Charmeleon,Phanpy,66.06,56.09,9.97,50
Ivysaur,Marill,67.43,57.47,9.96,45
Minun,Hoothoot,65.96,56.01,9.95,39
Ponyta,Smeargle,65.63,55.7,9.93,43
Meganium,Pikachu,65.7,55.8,9.9,38
Charmeleon,Whismur,66.11,56.21,9.9,38
Ivysaur,Voltorb,66.6,56.72,9.89,43
Meganium,Numel,65.04,55.15,9.89,44
Swampert,Marill,67.09,57.23,9.86,40
Ponyta,Zubat,62.67,52.89,9.78,41
Charmeleon,Rattata,62.34,52.59,9.75,37
Blaziken,Slakoth,63.85,54.11,9.74,33
Blaziken,Sunkern,64.26,54.52,9.74,41
Ivysaur,Loudred,70.85,61.12,9.72,32
Ivysaur,Plusle,72.61,62.9,9.71,41
Ivysaur,Slakoth,63.04,53.34,9.69,44
Porygon2,Bayleef,64.59,54.9,9.69,44
Golbat,Wartortle,72.17,62.5,9.67,34
Plusle,Croconaw,68.78,59.11,9.67,55
Blaziken,Vigoroth,69.37,59.7,9.66,50
Vigoroth,Cubone,62.21,52.59,9.61,33
Charmeleon,Golbat,75.04,65.44,9.61,34
Charmeleon,Marshtomp,64.98,55.38,9.59,41
Plusle,Sunflora,66.41,56.83,9.58,34
Blaziken,Cubone,69.25,59.67,9.58,31
Charmeleon,Vulpix,63.9,54.34,9.56,42
Mantine,Chansey,64.5,54.95,9.55,47
Ponyta,Geodude,63.85,54.31,9.54,48
Minun,Cubone,66.2,56.69,9.51,42
Ivysaur,Whismur,65.57,56.06,9.51,42
Mantine,Slugma,67.82,58.32,9.5,37
Meganium,Sandshrew,66.57,57.08,9.49,40
Mantine,Grovyle,71.14,61.67,9.47,46
Loudred,Marill,62.82,53.34,9.47,38
Porygon2,Psyduck,63.73,54.3,9.43,42
Ivysaur,Chansey,65.3,55.91,9.4,41
Ponyta,Croconaw,70.15,60.76,9.39,36
Blaziken,Elekid,66.21,56.86,9.35,47
Charmeleon,Slowpoke,64.14,54.8,9.35,46
Golbat,Numel,63.66,54.32,9.34,38
Blaziken,Slowpoke,64.75,55.41,9.34,45
Swampert,Geodude,64.09,54.77,9.32,37
Wartortle,Natu,66.12,56.8,9.32,44
Charmeleon,Mudkip,61.64,52.32,9.32,37
Swampert,Mudkip,61.25,51.93,9.32,44
Mantine,Marill,65.82,56.52,9.31,49
Quilava,Plusle,69.91,60.61,9.3,53
Charmeleon,Magnemite,67.81,58.55,9.26,51
Golbat,Grovyle,71.91,62.66,9.25,46
Ivysaur,Pikachu,64.18,54.94,9.25,50
Golbat,Quilava,72.21,62.99,9.21,45
Blaziken,Ivysaur,75.21,66.02,9.19,34
Mantine,Smeargle,64.63,55.45,9.18,35
Quilava,Raticate,64.27,55.1,9.17,44
Blaziken,Slugma,69.2,60.04,9.16,42
Ponyta,Vigoroth,67.39,58.24,9.15,45
Quilava,Mareep,61.14,51.99,9.15,45
Slugma,Raticate,60.56,51.41,9.15,34
Ponyta,Sunflora,67.63,58.48,9.15,39
Ivysaur,Wartortle,71.62,62.47,9.15,41
Blaziken,Bulbasaur,62.42,53.3,9.12,35
Spearow,Whismur,61.87,52.75,9.11,52
Charmeleon,Marill,66.73,57.62,9.11,42
Porygon2,Magby,63.56,54.45,9.11,41
Swampert,Grovyle,71.48,62.39,9.09,53
Plusle,Smeargle,63.12,54.05,9.07,49
Meganium,Magby,65.37,56.32,9.05,26
Ivysaur,Numel,63.32,54.28,9.04,29
Grovyle,Vigoroth,65.35,56.32,9.03,44
Ivysaur,Mantine,73.31,64.3,9.01,33
Meganium,Squirtle,62.5,53.49,9.01,39
Charmeleon,Slugma,68.42,59.42,8.99,43
Porygon2,Voltorb,64.7,55.72,8.98,48
Ivysaur,Slugma,68.25,59.27,8.98,30
Mantine,Numel,62.29,53.33,8.96,33
Charmeleon,Vigoroth,68.04,59.09,8.95,24
Ponyta,Cubone,67.14,58.2,8.93,39
Swampert,Raticate,66.08,57.15,8.93,45
Golbat,Trapinch,66.0,57.09,8.91,46
Charmeleon,Trapinch,66.1,57.2,8.9,26
Golbat,Rattata,61.35,52.47,8.88,44
Ponyta,Exeggcute,64.22,55.34,8.87,59
Ivysaur,Quilava,71.82,62.96,8.86,45
Charmeleon,Tentacool,62.2,53.34,8.86,41
Sunflora,Vigoroth,61.73,52.87,8.86,46
Ponyta,Slugma,67.41,58.58,8.83,39
Ponyta,Treecko,60.96,52.14,8.82,47
Golbat,Croconaw,70.32,61.49,8.82,42
Quilava,Whismur,62.55,53.77,8.78,31
Minun,Combusken,64.87,56.09,8.78,37
Minun,Grovyle,69.19,60.41,8.78,48
Grovyle,Magnemite,64.56,55.78,8.78,42
Croconaw,Magnemite,63.39,54.61,8.78,27
Slugma,Meowth,57.37,48.61,8.75,33
Meganium,Geodude,64.61,55.88,8.73,39
Porygon2,Combusken,66.03,57.3,8.72,48
Blaziken,Vulpix,63.65,54.95,8.69,41
Meganium,Ivysaur,74.79,66.12,8.68,43
Minun,Phanpy,62.4,53.73,8.67,41
Porygon2,Vigoroth,66.6,57.94,8.66,52
Swampert,Cacnea,61.9,53.25,8.65,46
Porygon2,Marill,65.12,56.47,8.65,39
Grovyle,Magby,61.48,52.83,8.64,41
Wartortle,Combusken,64.16,55.52,8.64,44
Meganium,Meowth,64.06,55.45,8.61,31
Quilava,Chansey,62.23,53.62,8.61,33
Quilava,Trapinch,63.38,54.77,8.61,32
Wartortle,Raticate,63.22,54.61,8.61,39
Ivysaur,Combusken,66.89,58.3,8.59,43
Blaziken,Psyduck,64.65,56.07,8.58,41
Mantine,Marshtomp,62.86,54.28,8.58,52
Ivysaur,Charmander,60.93,52.36,8.57,35
Charmeleon,Torchic,62.06,53.5,8.56,41
Larvitar,Cacnea,50.64,42.09,8.54,32
Wartortle,Sunflora,64.93,56.39,8.53,35
Ivysaur,Zubat,62.09,53.59,8.51,32
Grovyle,Exeggcute,61.9,53.42,8.48,51
Ivysaur,Magby,63.93,55.45,8.47,31
Mantine,Geodude,62.52,54.06,8.46,50
Golbat,Raticate,65.87,57.42,8.44,36
Golbat,Torchic,61.8,53.38,8.42,38
Meganium,Zubat,62.87,54.45,8.42,26
Swampert,Tentacool,61.35,52.95,8.4,37
Charmeleon,Eevee,63.01,54.61,8.4,45
Porygon2,Cubone,66.29,57.91,8.38,39
Ivysaur,Chikorita,61.23,52.86,8.37,38
Plusle,Vigoroth,64.96,56.59,8.37,38
Spearow,Slugma,64.34,55.97,8.37,47
Ivysaur,Mudkip,60.53,52.17,8.36,50
Mantine,Combusken,65.7,57.35,8.35,43
Plusle,Onix,61.7,53.38,8.33,45
Plusle,Combusken,64.29,55.95,8.33,47
Blaziken,Combusken,67.39,59.07,8.32,49
Ivysaur,Phanpy,64.25,55.95,8.31,38
Charmeleon,Bayleef,64.36,56.05,8.31,41
Slugma,Marill,59.77,51.49,8.28,46
Charmeleon,Minun,71.47,63.19,8.28,42
Blaziken,Exeggcute,65.08,56.81,8.27,39
Blaziken,Cyndaquil,61.13,52.88,8.25,39
Quilava,Exeggcute,62.0,53.76,8.24,37
Plusle,Exeggcute,61.93,53.7,8.23,39
Grovyle,Spearow,67.55,59.33,8.23,45
Swampert,Totodile,59.89,51.67,8.22,54
Ponyta,Tentacool,60.71,52.49,8.22,45
Ivysaur,Larvitar,62.06,53.85,8.21,24
Golbat,Cubone,67.14,58.94,8.2,45
Minun,Quilava,68.95,60.75,8.2,48
Loudred,Slugma,63.34,55.15,8.19,46
Charmeleon,Slakoth,61.66,53.49,8.17,48
Mantine,Vigoroth,66.13,57.98,8.15,33
Wartortle,Spearow,67.3,59.16,8.14,52
Blaziken,Sandshrew,65.11,56.98,8.14,35
Spearow,Elekid,60.9,52.78,8.12,38
Charmeleon,Voltorb,64.97,56.86,8.1,32
Minun,Whismur,61.94,53.84,8.09,38
Golbat,Meowth,62.72,54.62,8.09,50
Golbat,Slugma,67.4,59.31,8.09,45
Sunflora,Cubone,60.88,52.84,8.05,28
Quilava,Sunflora,64.93,56.89,8.04,42
Swampert,Zubat,61.36,53.34,8.02,42
Charmeleon,Charmander,60.53,52.51,8.02,33
Plusle,Sandshrew,61.87,53.86,8.01,42
Swampert,Diglett,62.35,54.33,8.01,47
Charmeleon,Sandshrew,64.36,56.36,8.0,34
Ponyta,Natu,66.88,58.89,7.99,48
Golbat,Spearow,69.95,61.98,7.97,47
Spearow,Onix,60.38,52.42,7.96,36
Ponyta,Sunkern,61.0,53.05,7.95,33
Mantine,Whismur,63.05,55.11,7.95,31
Mantine,Tentacool,60.12,52.23,7.89,33
Golbat,Magby,63.38,55.49,7.89,46
Ivysaur,Torchic,61.23,53.35,7.88,45
Natu,Sunflora,61.39,53.52,7.87,42
Charmeleon,Numel,62.3,54.44,7.87,30
Voltorb,Phanpy,55.26,47.41,7.85,49
Minun,Magnemite,64.01,56.19,7.83,53
Ponyta,Numel,61.41,53.59,7.83,51
Porygon2,Phanpy,62.75,54.95,7.81,47
Plusle,Bayleef,61.34,53.55,7.79,35
Loudred,Smeargle,60.06,52.27,7.79,38
Golbat,Mantine,72.12,64.33,7.79,44
Quilava,Treecko,58.34,50.55,7.79,25
Spearow,Vigoroth,63.39,55.64,7.75,54
Swampert,Trapinch,64.55,56.81,7.73,42
Mantine,Elekid,62.86,55.14,7.73,43
Minun,Sandshrew,61.69,54.0,7.7,33
Grovyle,Loudred,66.18,58.5,7.68,39
Blaziken,Onix,64.16,56.49,7.67,33
Wartortle,Sandshrew,61.08,53.42,7.65,35
Swampert,Mareep,61.68,54.04,7.64,35
Quilava,Smeargle,61.72,54.11,7.61,39
Meganium,Pidgey,62.64,55.04,7.6,38
Natu,Cubone,60.82,53.24,7.58,44
Charmeleon,Porygon,61.28,53.73,7.55,40
Charmeleon,Exeggcute,63.74,56.2,7.55,38
Quilava,Onix,60.97,53.44,7.54,36
Ponyta,Trapinch,63.89,56.36,7.53,41
Charmeleon,Combusken,65.99,58.45,7.53,41
Meganium,Charmander,60.74,53.23,7.52,47
Swampert,Psyduck,62.59,55.06,7.52,42
Golbat,Exeggcute,63.59,56.08,7.51,38
Mantine,Sunkern,60.29,52.8,7.49,34
Plusle,Slugma,64.41,56.92,7.48,37
Swampert,Vulpix,61.42,53.95,7.47,36
Voltorb,Chansey,54.84,47.37,7.47,47
Swampert,Cyndaquil,59.34,51.88,7.47,33
Mantine,Voltorb,63.22,55.76,7.46,40
Golbat,Whismur,63.54,56.09,7.45,38
Charmeleon,Elekid,63.68,56.24,7.44,39
Blaziken,Eevee,62.67,55.23,7.44,45
Meganium,Whismur,64.33,56.92,7.41,39
Golbat,Eevee,61.9,54.5,7.4,36
Blaziken,Hoothoot,66.38,58.99,7.39,51
Swampert,Sandshrew,63.35,55.97,7.38,45
Meganium,Cubone,67.15,59.77,7.38,41
Ivysaur,Exeggcute,63.41,56.05,7.37,44
Ivysaur,Cubone,66.26,58.91,7.36,39
Blaziken,Whismur,64.18,56.83,7.36,48
Plusle,Mareep,59.29,51.93,7.36,40
Porygon2,Pikachu,61.29,53.94,7.36,30
Charmeleon,Onix,63.22,55.88,7.35,41
Wartortle,Exeggcute,60.56,53.26,7.3,39
Golbat,Psyduck,62.62,55.34,7.28,39
Mantine,Mareep,60.59,53.33,7.26,25
Mantine,Eevee,60.77,53.51,7.26,38
Meganium,Psyduck,63.37,56.17,7.2,35
Charmeleon,Sunflora,66.52,59.33,7.19,40
Meganium,Exeggcute,64.1,56.91,7.19,45
Minun,Onix,60.68,53.51,7.17,37
Ivysaur,Sunflora,66.35,59.18,7.17,39
Porygon2,Geodude,61.19,54.02,7.17,42
Sunflora,Numel,55.37,48.22,7.16,38
Golbat,Marshtomp,62.43,55.27,7.16,38
Charmeleon,Cubone,66.2,59.05,7.15,40
Sunflora,Voltorb,57.78,50.64,7.14,36
Golbat,Larvitar,61.03,53.88,7.14,38
Meganium,Bayleef,63.86,56.77,7.1,51
Ivysaur,Bulbasaur,59.62,52.53,7.09,34
Ponyta,Phanpy,62.33,55.25,7.09,34
Swampert,Croconaw,68.29,61.22,7.07,47
Swampert,Slowpoke,61.46,54.41,7.06,38
Ivysaur,Rattata,59.5,52.44,7.06,49
Ivysaur,Slowpoke,61.7,54.64,7.06,40
Blaziken,Pikachu,62.75,55.7,7.05,46
Swampert,Hoothoot,65.03,57.98,7.05,40
Golbat,Ivysaur,72.33,65.28,7.05,42
Sandshrew,Larvitar,51.85,44.81,7.04,35
Quilava,Vigoroth,63.68,56.65,7.03,29
Grovyle,Slugma,63.67,56.66,7.02,37
Plusle,Wingull,58.72,51.7,7.01,31
Plusle,Chikorita,57.52,50.51,7.01,47
Quilava,Voltorb,61.44,54.42,7.01,42
Loudred,Sunflora,62.06,55.05,7.0,44
Croconaw,Whismur,59.27,52.27,7.0,45
Grovyle,Phanpy,60.32,53.33,6.99,33
Swampert,Pikachu,61.65,54.69,6.95,39
Minun,Smeargle,61.13,54.19,6.95,49
Quilava,Slugma,63.94,56.98,6.95,48
Blaziken,Magikarp,56.91,49.97,6.94,42
Quilava,Grovyle,67.25,60.34,6.91,34
Mantine,Quilava,68.91,62.01,6.91,40
Wartortle,Vigoroth,63.07,56.16,6.91,33
Quilava,Geodude,59.63,52.73,6.9,41
Ponyta,Bulbasaur,58.73,51.84,6.89,47
Wartortle,Elekid,60.18,53.3,6.88,49
Swampert,Marshtomp,61.86,54.99,6.87,38
Grovyle,Smeargle,60.63,53.78,6.85,48
Grovyle,Sandshrew,60.44,53.59,6.85,34
Wartortle,Magnemite,62.45,55.61,6.84,35
Minun,Zubat,58.21,51.37,6.84,48
Ponyta,Bayleef,62.01,55.2,6.81,43
Golbat,Cyndaquil,58.95,52.15,6.8,34
Charmeleon,Psyduck,62.25,55.45,6.8,42
Blaziken,Chansey,63.45,56.67,6.78,28
Ivysaur,Wingull,60.84,54.05,6.78,39
Porygon2,Slowpoke,60.38,53.64,6.74,39
Meganium,Chikorita,60.44,53.73,6.72,50
Golbat,Slakoth,60.09,53.38,6.71,44
Charmeleon,Oddish,60.75,54.05,6.7,37
Swampert,Phanpy,62.4,55.7,6.7,26
Wartortle,Trapinch,60.95,54.27,6.68,37
Swampert,Onix,62.15,55.48,6.66,23
Blaziken,Tentacool,60.61,53.95,6.66,42
Wartortle,Croconaw,65.31,58.67,6.64,42
Croconaw,Sunflora,61.99,55.39,6.6,39
Minun,Slugma,63.64,57.06,6.58,49
Ivysaur,Sandshrew,62.77,56.21,6.56,31
Ivysaur,Meowth,61.13,54.59,6.54,37
Mantine,Raticate,62.97,56.44,6.53,39
Charmeleon,Cacnea,60.18,53.64,6.53,44
Swampert,Bulbasaur,58.82,52.3,6.53,41
Minun,Bulbasaur,56.83,50.32,6.51,37
Plusle,Raticate,61.54,55.04,6.5,45
Swampert,Combusken,64.57,58.06,6.5,53
Blaziken,Numel,61.55,55.05,6.5,34
Golbat,Pikachu,61.46,54.97,6.49,45
Golbat,Diglett,61.08,54.61,6.47,45
Meganium,Slakoth,60.68,54.21,6.47,40
Porygon2,Raticate,62.85,56.39,6.46,44
Hoothoot,Larvitar,53.28,46.83,6.46,39
Loudred,Sandshrew,58.55,52.09,6.46,22
Meganium,Porygon,60.88,54.45,6.43,41
Mantine,Slowpoke,60.11,53.69,6.42,32
Minun,Diglett,58.78,52.36,6.42,41
Ponyta,Elekid,61.8,55.39,6.41,41
Croconaw,Pikachu,57.55,51.14,6.41,32
Grovyle,Cyndaquil,55.9,49.49,6.4,36
Swampert,Exeggcute,62.2,55.8,6.39,43
Ivysaur,Geodude,61.41,55.02,6.39,44
Blaziken,Totodile,59.04,52.67,6.36,40
Grovyle,Raticate,61.13,54.77,6.36,46
Croconaw,Smeargle,58.96,52.61,6.35,35
Loudred,Combusken,60.53,54.18,6.35,41
Quilava,Pidgey,58.24,51.89,6.35,43
Ivysaur,Sunkern,60.1,53.75,6.34,27
Grovyle,Sunflora,62.9,56.56,6.34,42
Ponyta,Sandshrew,61.84,55.51,6.33,44
Croconaw,Cubone,61.45,55.12,6.33,44
Spearow,Loudred,64.14,57.82,6.32,47
Meganium,Oddish,61.06,54.77,6.29,45
Plusle,Cubone,62.85,56.55,6.29,32
Croconaw,Exeggcute,58.51,52.26,6.26,38
Croconaw,Loudred,63.59,57.34,6.25,38
Wartortle,Cubone,62.35,56.12,6.23,25
Ponyta,Cacnea,59.03,52.8,6.23,41
Marill,Sandshrew,54.66,48.43,6.23,38
Grovyle,Chikorita,56.46,50.24,6.22,45
Swampert,Charmander,58.34,52.12,6.22,37
Golbat,Sunkern,59.98,53.79,6.2,40
Meganium,Sunkern,60.81,54.62,6.19,47
Golbat,Slowpoke,60.86,54.68,6.18,50
Quilava,Loudred,65.02,58.84,6.18,36
Quilava,Hoothoot,62.09,55.94,6.16,42
Croconaw,Magby,57.83,51.66,6.16,41
Blaziken,Marshtomp,62.14,56.0,6.14,52
Grovyle,Totodile,55.41,49.29,6.12,34
Blaziken,Meowth,61.47,55.36,6.12,45
Charmeleon,Pidgey,60.42,54.33,6.09,39
Magnemite,Bayleef,55.12,49.05,6.07,25
Ivysaur,Treecko,58.9,52.84,6.06,35
Quilava,Marshtomp,58.97,52.95,6.03,42
Grovyle,Croconaw,64.87,58.84,6.03,41
Swampert,Wingull,59.8,53.81,5.98,34
Wartortle,Slugma,62.44,56.49,5.95,42
Cubone,Pikachu,54.53,48.59,5.94,39
